"1993 - 1994 State To State Migration Flows _ OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"FROM:,,UTAH,NUMBER OF,NUMBER OF,TOTAL MONEY"
" ,,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"49, ,Total Outflow,19906,46060,521941"
"6,Ca,California,2475,5098,60847"
"4,Az,Arizona,1721,4151,40270"
"16,Id,Idaho,1620,4083,37223"
"32,Nv,Nevada,1482,3461,37929"
"8,Co,Colorado,1250,2832,35507"
"48,Tx,Texas,1149,2733,35644"
"53,Wa,Washington,1090,2375,27877"
"41,Or,Oregon,729,1622,16978"
"57,FR,Foreign,657,1514,16265"
"56,Wy,Wyoming,577,1447,14806"
"35,NM,New Mexico,537,1394,12731"
"12,Fl,Florida,498,1153,15820"
"30,Mt,Montana,359,849,8535"
"17,Il,Illinois,332,729,9388"
"51,Va,Virginia,306,703,8843"
"13,Ga,Georgia,305,695,9933"
"36,NY,New York,281,532,6717"
"29,Mo,Missouri,279,702,6780"
"39,Oh,Ohio,267,675,9049"
"26,Mi,Michigan,249,605,6818"
"37,NC,North Carolina,245,588,6561"
"27,Mn,Minnesota,230,545,6592"
"42,Pa,Pennsylvania,208,450,5964"
"40,Ok,Oklahoma,206,499,7111"
"47,Tn,Tennessee,201,498,5894"
"55,Wi,Wisconsin,195,503,6391"
"2,Ak,Alaska,188,423,5105"
"18,In,Indiana,176,437,5081"
"31,Ne,Nebraska,175,472,5010"
"20,Ks,Kansas,171,409,4090"
"15,Hi,Hawaii,159,343,3621"
"19,Ia,Iowa,156,390,3825"
"24,Md,Maryland,150,331,4441"
"25,Ma,Massachusetts,146,263,3850"
"34,NJ,New Jersey,120,250,4216"
"22,La,Louisiana,117,251,2845"
"1,Al,Alabama,109,264,3147"
"5,Ar,Arkansas,108,260,2381"
"21,Ky,Kentucky,100,252,3534"
"45,SC,South Carolina,97,233,2526"
"28,Ms,Mississippi,81,205,1553"
"46,SD,South Dakota,74,186,2152"
"9,Ct,Connecticut,65,116,1911"
"23,Me,Maine,49,100,1245"
"33,NH,New Hampshire,48,93,987"
"38,ND,North Dakota,45,102,994"
"50,Vt,Vermont,35,49,591"
"54,WV,West Virginia,29,67,537"
"11,DC,District of Columbia,25,39,874"
"10,De,Delaware,23,67,680"
"44,RI,Rhode Island,12,22,272"
"49,Ut,State Non-Migrant,546373,1499636,18717807"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
