"1993 - 1994 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"FROM:,,VIRGINIA,NUMBER OF,NUMBER OF,TOTAL MONEY"
" ,,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"51, ,Total Outflow,105251,216663,3491271"
"37,NC,North Carolina,10947,22423,331291"
"24,Md,Maryland,10263,18891,348549"
"12,Fl,Florida,8900,18590,297527"
"57,FR,Foreign,7378,15817,232264"
"6,Ca,California,5359,10682,188766"
"48,Tx,Texas,5349,11998,201180"
"42,Pa,Pennsylvania,4692,9524,155066"
"13,Ga,Georgia,4589,9681,156752"
"36,NY,New York,3800,6949,116635"
"11,DC,District of Columbia,3411,5223,111050"
"47,Tn,Tennessee,3325,7135,92744"
"39,Oh,Ohio,2637,5635,81396"
"45,SC,South Carolina,2604,5741,83660"
"54,WV,West Virginia,2491,5256,63744"
"8,Co,Colorado,2215,4468,90898"
"34,NJ,New Jersey,2064,4112,80618"
"17,Il,Illinois,2033,4393,78135"
"26,Mi,Michigan,1510,3218,49954"
"25,Ma,Massachusetts,1468,2638,53738"
"1,Al,Alabama,1389,3161,43186"
"21,Ky,Kentucky,1284,2778,36368"
"53,Wa,Washington,1263,2606,46000"
"4,Az,Arizona,1202,2449,48618"
"18,In,Indiana,1186,2589,37396"
"22,La,Louisiana,1095,2473,33177"
"29,Mo,Missouri,1043,2313,36246"
"9,Ct,Connecticut,945,1986,43571"
"15,Hi,Hawaii,890,2040,27718"
"28,Ms,Mississippi,813,1987,22685"
"40,Ok,Oklahoma,713,1584,19250"
"20,Ks,Kansas,658,1697,25607"
"27,Mn,Minnesota,656,1329,24518"
"55,Wi,Wisconsin,643,1401,20372"
"10,De,Delaware,632,1302,20138"
"35,NM,New Mexico,595,1228,20591"
"5,Ar,Arkansas,569,1338,21783"
"23,Me,Maine,512,1209,13114"
"41,Or,Oregon,479,853,15140"
"32,Nv,Nevada,460,937,16913"
"19,Ia,Iowa,409,889,12760"
"44,RI,Rhode Island,396,932,15658"
"49,Ut,Utah,372,810,13284"
"33,NH,New Hampshire,366,704,13235"
"2,Ak,Alaska,320,745,8319"
"31,Ne,Nebraska,287,704,9016"
"16,Id,Idaho,224,522,7306"
"30,Mt,Montana,213,454,6159"
"50,Vt,Vermont,194,382,5904"
"46,SD,South Dakota,141,331,4323"
"38,ND,North Dakota,136,321,3211"
"56,Wy,Wyoming,131,235,5738"
"51,Va,State Non-Migrant,2285365,5021599,86666221"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
