"1994 - 1995 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,MAINE,,,,"
",,,,,"
",,,,,AGGREGATE"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"23, ,Total Inflow,14206,26922,415152"
"25,Ma,Massachusetts,2163,3813,70341"
"33,NH,New Hampshire,1667,3112,45235"
"12,Fl,Florida,1264,2282,29044"
"36,NY,New York,951,1718,31790"
"9,Ct,Connecticut,840,1578,26716"
"6,Ca,California,707,1391,22018"
"57,FR,Foreign,695,1214,15934"
"51,Va,Virginia,493,1219,14961"
"42,Pa,Pennsylvania,442,841,16763"
"34,NJ,New Jersey,409,751,14486"
"48,Tx,Texas,393,853,12496"
"44,RI,Rhode Island,301,524,9908"
"37,NC,North Carolina,291,566,6741"
"24,Md,Maryland,275,581,9445"
"50,Vt,Vermont,264,459,5889"
"39,Oh,Ohio,216,413,6276"
"8,Co,Colorado,200,345,3927"
"13,Ga,Georgia,198,412,5432"
"17,Il,Illinois,180,337,7557"
"53,Wa,Washington,172,305,4088"
"26,Mi,Michigan,149,281,5094"
"45,SC,South Carolina,144,359,4444"
"4,Az,Arizona,139,266,3268"
"47,Tn,Tennessee,119,260,2761"
"15,Hi,Hawaii,97,221,2507"
"2,Ak,Alaska,94,196,2731"
"18,In,Indiana,87,164,3286"
"41,Or,Oregon,82,146,2007"
"29,Mo,Missouri,82,144,2345"
"27,Mn,Minnesota,78,136,1715"
"35,NM,New Mexico,77,158,1791"
"21,Ky,Kentucky,77,154,1799"
"55,Wi,Wisconsin,76,142,1966"
"1,Al,Alabama,75,155,1863"
"22,La,Louisiana,72,158,1906"
"10,De,Delaware,64,119,2758"
"40,Ok,Oklahoma,61,127,1121"
"20,Ks,Kansas,60,119,1413"
"11,DC,District of Columbia,56,91,1883"
"49,Ut,Utah,55,121,1333"
"32,Nv,Nevada,52,96,1245"
"19,Ia,Iowa,43,69,1142"
"28,Ms,Mississippi,43,102,1225"
"30,Mt,Montana,37,73,837"
"5,Ar,Arkansas,32,62,532"
"31,Ne,Nebraska,30,59,665"
"56,Wy,Wyoming,24,49,633"
"16,Id,Idaho,24,62,607"
"54,WV,West Virginia,23,37,501"
"38,ND,North Dakota,20,47,445"
"46,SD,South Dakota,13,35,282"
"23,Me,State Non-Migrant,439938,966676,14003720"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
