"1994 - 1995 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,NORTH CAROLINA,,,,"
",,,,,"
",,,,,AGGREGATE"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"37, ,Total Inflow,118754,240838,3682618"
"12,Fl,Florida,12157,25555,373074"
"51,Va,Virginia,11697,23344,353444"
"36,NY,New York,9826,19637,322522"
"45,SC,South Carolina,9240,18316,250731"
"57,FR,Foreign,7141,14484,155764"
"13,Ga,Georgia,6108,12521,194420"
"6,Ca,California,6000,12888,213226"
"48,Tx,Texas,4848,10774,156317"
"42,Pa,Pennsylvania,4829,9211,161106"
"34,NJ,New Jersey,4039,7984,163433"
"39,Oh,Ohio,3935,7621,121912"
"24,Md,Maryland,3657,7087,125138"
"47,Tn,Tennessee,2936,5892,86634"
"17,Il,Illinois,2540,4987,109540"
"26,Mi,Michigan,2359,4353,70297"
"54,WV,West Virginia,2120,3911,41200"
"9,Ct,Connecticut,1949,3837,93159"
"25,Ma,Massachusetts,1947,3635,64143"
"1,Al,Alabama,1634,3522,49072"
"21,Ky,Kentucky,1566,3366,48639"
"18,In,Indiana,1430,2817,44825"
"8,Co,Colorado,1251,2693,37545"
"22,La,Louisiana,1156,2482,31926"
"4,Az,Arizona,1143,2508,38527"
"29,Mo,Missouri,1122,2252,32732"
"53,Wa,Washington,1111,2388,30435"
"55,Wi,Wisconsin,878,1762,30760"
"15,Hi,Hawaii,817,2009,20685"
"40,Ok,Oklahoma,816,1736,20774"
"20,Ks,Kansas,674,1659,21761"
"28,Ms,Mississippi,672,1454,19167"
"27,Mn,Minnesota,667,1269,23359"
"11,DC,District of Columbia,545,941,14364"
"19,Ia,Iowa,544,1038,15012"
"5,Ar,Arkansas,534,1030,13454"
"33,NH,New Hampshire,495,911,16405"
"23,Me,Maine,478,951,11856"
"2,Ak,Alaska,469,1198,13154"
"10,De,Delaware,415,810,14449"
"35,NM,New Mexico,385,764,9479"
"41,Or,Oregon,364,702,9283"
"44,RI,Rhode Island,360,725,12296"
"50,Vt,Vermont,334,602,8201"
"32,Nv,Nevada,332,649,8165"
"31,Ne,Nebraska,316,619,8390"
"49,Ut,Utah,277,597,8547"
"16,Id,Idaho,140,349,2863"
"38,ND,North Dakota,132,273,2897"
"30,Mt,Montana,127,256,2265"
"56,Wy,Wyoming,125,219,2496"
"46,SD,South Dakota,117,250,2775"
"37,NC,State Non-Migrant,2524105,5539849,83477013"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
