"1994 -1995 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,TEXAS,,,,"
",,,,,"
",,,,,AGGREGATE"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"48, ,Total Inflow,188255,403797,6061572"
"6,Ca,California,24328,55266,838274"
"57,FR,Foreign,15695,31213,424705"
"12,Fl,Florida,10765,23518,312839"
"40,Ok,Oklahoma,10425,22255,311150"
"22,La,Louisiana,9811,21104,310344"
"17,Il,Illinois,7157,15553,294570"
"8,Co,Colorado,6520,14235,203546"
"35,NM,New Mexico,6502,15093,159188"
"36,NY,New York,5836,11502,211197"
"13,Ga,Georgia,5454,11867,169474"
"51,Va,Virginia,5293,11594,200734"
"5,Ar,Arkansas,4853,10172,110955"
"4,Az,Arizona,4524,9368,127692"
"29,Mo,Missouri,4462,9215,154316"
"37,NC,North Carolina,4338,9407,128712"
"39,Oh,Ohio,4157,8528,149048"
"20,Ks,Kansas,4143,9337,129430"
"26,Mi,Michigan,3573,7397,111976"
"53,Wa,Washington,3570,7822,108619"
"47,Tn,Tennessee,3322,7004,131810"
"42,Pa,Pennsylvania,3247,6439,122288"
"18,In,Indiana,2918,6208,98426"
"1,Al,Alabama,2888,6407,86013"
"24,Md,Maryland,2455,5243,97878"
"34,NJ,New Jersey,2378,5124,126905"
"28,Ms,Mississippi,2378,4955,60519"
"27,Mn,Minnesota,2252,4749,76558"
"25,Ma,Massachusetts,2050,3974,85178"
"55,Wi,Wisconsin,1938,3804,59702"
"21,Ky,Kentucky,1929,4279,58040"
"45,SC,South Carolina,1899,4310,55717"
"15,Hi,Hawaii,1743,3985,48388"
"19,Ia,Iowa,1670,3304,44871"
"32,Nv,Nevada,1670,3280,40666"
"31,Ne,Nebraska,1473,3181,42216"
"41,Or,Oregon,1415,2956,37484"
"49,Ut,Utah,1277,3126,41182"
"9,Ct,Connecticut,1264,2462,68761"
"2,Ak,Alaska,1170,2887,50720"
"56,Wy,Wyoming,638,1532,20679"
"16,Id,Idaho,631,1533,15213"
"54,WV,West Virginia,561,1145,18292"
"38,ND,North Dakota,498,1170,13841"
"30,Mt,Montana,497,993,13440"
"46,SD,South Dakota,475,978,10808"
"11,DC,District of Columbia,469,769,18503"
"23,Me,Maine,452,929,10237"
"33,NH,New Hampshire,420,821,16837"
"10,De,Delaware,359,789,13950"
"44,RI,Rhode Island,308,616,11554"
"50,Vt,Vermont,205,399,8127"
"48,Tx,State Non-Migrant,5931917,14078834,197666408"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
