"1994 - 1995  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,FLORIDA,,,"
" ,,,,,"
",,,,,AGGREGATE"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY"
"TO:,,,RETURNS,EXEMPTIONS,INCOME"
"12, ,Total Outflow,181525,351575,4883426"
"13,Ga,Georgia,18778,37125,534261"
"37,NC,North Carolina,12157,25555,373074"
"36,NY,New York,11473,19419,269441"
"48,Tx,Texas,10765,23518,312839"
"6,Ca,California,8620,15513,248556"
"57,FR,Foreign,7770,15490,193764"
"51,Va,Virginia,7516,15887,225509"
"39,Oh,Ohio,7429,14018,185337"
"47,Tn,Tennessee,6760,14137,178362"
"1,Al,Alabama,6307,13169,149724"
"42,Pa,Pennsylvania,6250,11322,165562"
"26,Mi,Michigan,6101,11214,145686"
"17,Il,Illinois,5588,10279,163320"
"34,NJ,New Jersey,5304,9491,149972"
"45,SC,South Carolina,4680,9535,118630"
"25,Ma,Massachusetts,4654,7570,109407"
"18,In,Indiana,4436,8693,103891"
"24,Md,Maryland,3639,6832,105647"
"8,Co,Colorado,3601,6534,102418"
"21,Ky,Kentucky,3202,6429,75878"
"4,Az,Arizona,2809,5110,84384"
"9,Ct,Connecticut,2594,4572,82985"
"22,La,Louisiana,2594,4979,65044"
"29,Mo,Missouri,2376,4734,66879"
"28,Ms,Mississippi,2176,4412,50246"
"53,Wa,Washington,2097,4003,56770"
"55,Wi,Wisconsin,1927,3681,51531"
"32,Nv,Nevada,1700,3094,45861"
"27,Mn,Minnesota,1499,2853,50970"
"33,NH,New Hampshire,1376,2415,31594"
"40,Ok,Oklahoma,1316,2778,28724"
"54,WV,West Virginia,1292,2565,28260"
"23,Me,Maine,1264,2282,29044"
"5,Ar,Arkansas,1234,2561,33266"
"35,NM,New Mexico,1015,2028,31160"
"20,Ks,Kansas,1014,2117,27846"
"41,Or,Oregon,901,1617,22753"
"44,RI,Rhode Island,893,1567,20810"
"15,Hi,Hawaii,872,1693,22227"
"19,Ia,Iowa,849,1672,21820"
"49,Ut,Utah,593,1302,21486"
"50,Vt,Vermont,581,1034,14048"
"2,Ak,Alaska,577,1174,12936"
"10,De,Delaware,532,973,10941"
"31,Ne,Nebraska,518,1099,13700"
"11,DC,District of Columbia,482,660,12430"
"16,Id,Idaho,429,960,11494"
"30,Mt,Montana,351,689,8952"
"56,Wy,Wyoming,253,483,6371"
"46,SD,South Dakota,219,431,4666"
"38,ND,North Dakota,162,307,2950"
"12,Fl,State Non-Migrant,4897226,10226112,162613702"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
