"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,KENTUCKY,,,"
" ,,,,,"
",,,,,AGGREGATE"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY"
"TO:,,,RETURNS,EXEMPTIONS,INCOME"
"21, ,Total Outflow,40270,82883,1131206"
"39,Oh,Ohio,5106,9528,134560"
"47,Tn,Tennessee,5056,10530,124528"
"18,In,Indiana,4463,9262,120229"
"12,Fl,Florida,3287,6307,99012"
"48,Tx,Texas,1929,4279,58040"
"13,Ga,Georgia,1774,3759,54970"
"37,NC,North Carolina,1566,3366,48639"
"57,FR,Foreign,1539,3201,32502"
"17,Il,Illinois,1522,3109,46474"
"6,Ca,California,1221,2282,33743"
"51,Va,Virginia,1161,2435,33773"
"26,Mi,Michigan,932,2004,30965"
"29,Mo,Missouri,840,1805,25391"
"1,Al,Alabama,761,1741,22833"
"45,SC,South Carolina,658,1363,19498"
"36,NY,New York,642,1228,17578"
"54,WV,West Virginia,642,1435,19033"
"42,Pa,Pennsylvania,635,1318,19513"
"8,Co,Colorado,513,1053,16985"
"4,Az,Arizona,458,894,12158"
"22,La,Louisiana,416,986,10936"
"53,Wa,Washington,410,848,10117"
"24,Md,Maryland,410,793,12494"
"20,Ks,Kansas,343,889,10766"
"28,Ms,Mississippi,330,684,8730"
"5,Ar,Arkansas,314,698,8958"
"40,Ok,Oklahoma,308,732,7795"
"55,Wi,Wisconsin,306,677,9314"
"15,Hi,Hawaii,292,715,6552"
"34,NJ,New Jersey,243,497,9050"
"25,Ma,Massachusetts,231,397,8384"
"27,Mn,Minnesota,227,490,7914"
"19,Ia,Iowa,177,409,5802"
"32,Nv,Nevada,159,291,4470"
"41,Or,Oregon,157,308,3470"
"35,NM,New Mexico,148,308,3286"
"2,Ak,Alaska,142,331,3345"
"49,Ut,Utah,133,305,3801"
"31,Ne,Nebraska,132,288,4629"
"9,Ct,Connecticut,130,242,6026"
"23,Me,Maine,77,154,1799"
"33,NH,New Hampshire,56,111,1705"
"46,SD,South Dakota,55,123,1739"
"38,ND,North Dakota,55,111,1112"
"10,De,Delaware,54,102,1440"
"30,Mt,Montana,53,111,1188"
"16,Id,Idaho,50,105,1288"
"56,Wy,Wyoming,48,108,1933"
"11,DC,District of Columbia,45,57,1085"
"44,RI,Rhode Island,35,72,1156"
"50,Vt,Vermont,29,42,498"
"21,Ky,State Non-Migrant,1253675,2847047,39025693"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
