"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,MISSISSIPPI,,,"
" ,,,,,"
",,,,,AGGREGATE"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY"
"TO:,,,RETURNS,EXEMPTIONS,INCOME"
"28, ,Total Outflow,28410,59416,685910"
"47,Tn,Tennessee,3959,7994,93351"
"22,La,Louisiana,3265,6813,82189"
"1,Al,Alabama,2607,5596,65592"
"48,Tx,Texas,2378,4955,60519"
"12,Fl,Florida,1892,3861,47782"
"13,Ga,Georgia,1591,3199,37030"
"6,Ca,California,1037,1994,24369"
"5,Ar,Arkansas,1013,2355,26092"
"57,FR,Foreign,997,1849,20109"
"17,Il,Illinois,897,1886,16638"
"51,Va,Virginia,702,1602,18479"
"37,NC,North Carolina,672,1454,19167"
"29,Mo,Missouri,559,1239,13412"
"4,Az,Arizona,476,1097,12089"
"40,Ok,Oklahoma,453,982,9534"
"39,Oh,Ohio,425,927,10038"
"45,SC,South Carolina,404,883,11404"
"21,Ky,Kentucky,393,863,10996"
"26,Mi,Michigan,386,806,7691"
"8,Co,Colorado,365,713,7559"
"18,In,Indiana,359,810,8479"
"55,Wi,Wisconsin,300,639,4671"
"36,NY,New York,264,521,6090"
"24,Md,Maryland,264,555,6991"
"53,Wa,Washington,263,563,5880"
"32,Nv,Nevada,256,481,7840"
"42,Pa,Pennsylvania,220,462,5852"
"20,Ks,Kansas,183,428,4616"
"27,Mn,Minnesota,180,391,3400"
"34,NJ,New Jersey,163,299,4063"
"19,Ia,Iowa,154,326,3906"
"35,NM,New Mexico,152,316,3615"
"31,Ne,Nebraska,146,323,2594"
"15,Hi,Hawaii,138,352,3185"
"2,Ak,Alaska,91,202,2089"
"49,Ut,Utah,91,231,2566"
"9,Ct,Connecticut,90,172,2209"
"25,Ma,Massachusetts,88,163,1811"
"41,Or,Oregon,72,140,1734"
"38,ND,North Dakota,58,110,957"
"16,Id,Idaho,57,131,1188"
"54,WV,West Virginia,50,109,1263"
"10,De,Delaware,46,96,1040"
"23,Me,Maine,43,102,1225"
"46,SD,South Dakota,40,79,784"
"56,Wy,Wyoming,38,86,1029"
"11,DC,District of Columbia,38,49,613"
"30,Mt,Montana,33,65,611"
"33,NH,New Hampshire,28,69,731"
"44,RI,Rhode Island,23,50,484"
"50,Vt,Vermont,11,28,354"
"28,Ms,State Non-Migrant,846712,1995819,23421168"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
