"1994 - 1995 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,MONTANA,,,"
" ,,,,,"
",,,,,AGGREGATE"
",,,NUMBER OF,NUMBER OF,TOTAL MONEY"
"TO:,,,RETURNS,EXEMPTIONS,INCOME"
"30, ,Total Outflow,13141,25678,286824"
"53,Wa,Washington,1749,3213,37220"
"6,Ca,California,997,1715,21374"
"16,Id,Idaho,793,1621,16932"
"8,Co,Colorado,699,1345,16988"
"41,Or,Oregon,682,1241,12570"
"56,Wy,Wyoming,670,1431,14516"
"4,Az,Arizona,646,1151,13924"
"38,ND,North Dakota,526,1152,10260"
"48,Tx,Texas,497,993,13440"
"27,Mn,Minnesota,439,825,9015"
"32,Nv,Nevada,436,866,11823"
"57,FR,Foreign,393,700,7059"
"49,Ut,Utah,362,760,8779"
"46,SD,South Dakota,317,686,7115"
"12,Fl,Florida,293,570,6425"
"2,Ak,Alaska,289,596,7644"
"55,Wi,Wisconsin,180,377,3720"
"29,Mo,Missouri,169,384,3594"
"26,Mi,Michigan,169,327,3290"
"35,NM,New Mexico,169,356,3591"
"17,Il,Illinois,165,339,3355"
"36,NY,New York,164,250,2706"
"31,Ne,Nebraska,158,373,3856"
"39,Oh,Ohio,158,316,2963"
"51,Va,Virginia,149,293,3409"
"40,Ok,Oklahoma,146,333,3305"
"42,Pa,Pennsylvania,127,244,2323"
"37,NC,North Carolina,127,256,2265"
"20,Ks,Kansas,121,249,2865"
"19,Ia,Iowa,121,266,2824"
"13,Ga,Georgia,119,223,2460"
"47,Tn,Tennessee,108,249,2541"
"18,In,Indiana,106,223,2536"
"15,Hi,Hawaii,80,141,1552"
"1,Al,Alabama,79,151,1852"
"25,Ma,Massachusetts,78,132,1689"
"22,La,Louisiana,77,148,1594"
"24,Md,Maryland,71,143,1600"
"34,NJ,New Jersey,70,130,1465"
"5,Ar,Arkansas,68,162,1901"
"21,Ky,Kentucky,63,132,1326"
"45,SC,South Carolina,57,136,1956"
"9,Ct,Connecticut,53,76,1057"
"28,Ms,Mississippi,49,114,955"
"23,Me,Maine,37,73,837"
"50,Vt,Vermont,31,53,645"
"33,NH,New Hampshire,30,51,637"
"54,WV,West Virginia,19,46,401"
"11,DC,District of Columbia,14,20,286"
"44,RI,Rhode Island,11,28,206"
"10,De,Delaware,10,19,178"
"30,Mt,State Non-Migrant,288371,657300,8370842"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
