"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,02-ALASKA,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,AK,AK Total Mig - US & For,14711,30623,399768"
"97,AK,AK Total Mig - US,14083,29265,384606"
"98,AK,AK Total Mig - Foreign,628,1358,15161"
"02,AK,AK Non-Migrants,190928,435857,8790010"
"53,WA,WASHINGTON,1821,3524,51560"
"06,CA,CALIFORNIA,1607,3151,44542"
"48,TX,TEXAS,907,2071,27452"
"41,OR,OREGON,770,1525,20537"
"57,FR,Foreign - Total,628,1358,15161"
"08,CO,COLORADO,575,1178,16219"
"12,FL,FLORIDA,534,1108,13728"
"37,NC,NORTH CAROLINA,463,1153,10719"
"04,AZ,ARIZONA,432,849,12153"
"13,GA,GEORGIA,415,958,10916"
"51,VA,VIRGINIA,343,753,11018"
"30,MT,MONTANA,331,693,9569"
"36,NY,NEW YORK,328,603,7545"
"16,ID,IDAHO,305,662,8093"
"27,MN,MINNESOTA,264,412,8672"
"26,MI,MICHIGAN,262,491,6188"
"35,NM,NEW MEXICO,253,607,6691"
"17,IL,ILLINOIS,229,413,5700"
"49,UT,UTAH,225,552,7072"
"32,NV,NEVADA,224,438,5858"
"42,PA,PENNSYLVANIA,221,372,5423"
"21,KY,KENTUCKY,216,554,5275"
"39,OH,OHIO,211,386,5455"
"40,OK,OKLAHOMA,203,542,5526"
"15,HI,HAWAII,202,419,5885"
"22,LA,LOUISIANA,200,478,4841"
"29,MO,MISSOURI,194,435,5383"
"20,KS,KANSAS,180,479,5040"
"47,TN,TENNESSEE,170,404,5923"
"55,WI,WISCONSIN,170,287,4237"
"01,AL,ALABAMA,165,387,4267"
"24,MD,MARYLAND,139,288,3877"
"34,NJ,NEW JERSEY,139,272,3639"
"25,MA,MASSACHUSETTS,138,228,3302"
"45,SC,SOUTH CAROLINA,138,360,3365"
"56,WY,WYOMING,124,261,3754"
"38,ND,NORTH DAKOTA,104,226,2621"
"05,AR,ARKANSAS,101,242,2608"
"28,MS,MISSISSIPPI,101,245,2401"
"18,IN,INDIANA,100,179,2356"
"23,ME,MAINE,96,171,2400"
"19,IA,IOWA,81,150,1994"
"46,SD,SOUTH DAKOTA,77,183,2029"
"09,CT,CONNECTICUT,67,108,1836"
"31,NE,NEBRASKA,64,126,1898"
"33,NH,NEW HAMPSHIRE,50,79,1129"
"50,VT,VERMONT,42,70,1020"
"54,WV,WEST VIRGINIA,37,82,987"
"10,DE,DELAWARE,24,48,658"
"44,RI,RHODE ISLAND,23,33,602"
"11,DC,DISTRICT OF COLUMBIA,18,30,644"
