"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,06-CALIFORNIA,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,CA,CA Total Mig - US & For,203317,359356,6561111"
"97,CA,CA Total Mig - US,182097,324857,6170958"
"98,CA,CA Total Mig - Foreign,21220,34499,390153"
"06,CA,CA Non-Migrants,10025767,22611353,422120825"
"57,FR,Foreign - Total,21220,34499,390153"
"48,TX,TEXAS,15080,29123,539764"
"04,AZ,ARIZONA,11867,22635,323093"
"36,NY,NEW YORK,11328,17439,506416"
"53,WA,WASHINGTON,11260,21259,328653"
"12,FL,FLORIDA,8908,15600,291562"
"32,NV,NEVADA,8697,15591,215641"
"17,IL,ILLINOIS,8373,14656,352447"
"41,OR,OREGON,7510,13791,192152"
"08,CO,COLORADO,7416,12836,235289"
"51,VA,VIRGINIA,5826,11141,227374"
"25,MA,MASSACHUSETTS,5553,8195,246581"
"15,HI,HAWAII,5159,9475,144535"
"42,PA,PENNSYLVANIA,4691,7590,169414"
"34,NJ,NEW JERSEY,4613,7832,253168"
"39,OH,OHIO,4492,7324,150430"
"26,MI,MICHIGAN,4315,7148,148433"
"13,GA,GEORGIA,3870,7137,144777"
"37,NC,NORTH CAROLINA,3619,7120,109796"
"24,MD,MARYLAND,3531,6145,139256"
"49,UT,UTAH,3399,6841,93253"
"29,MO,MISSOURI,2982,5306,90901"
"27,MN,MINNESOTA,2862,4550,109742"
"35,NM,NEW MEXICO,2819,5062,73935"
"18,IN,INDIANA,2402,4169,71933"
"09,CT,CONNECTICUT,2323,3700,123832"
"40,OK,OKLAHOMA,2253,4248,54548"
"55,WI,WISCONSIN,2157,3465,61119"
"47,TN,TENNESSEE,2125,3859,63845"
"22,LA,LOUISIANA,2050,3795,52024"
"16,ID,IDAHO,1845,3713,47621"
"20,KS,KANSAS,1821,3443,42382"
"19,IA,IOWA,1501,2653,38660"
"02,AK,ALASKA,1354,2490,37273"
"45,SC,SOUTH CAROLINA,1353,2759,40502"
"01,AL,ALABAMA,1343,2544,37045"
"11,DC,DISTRICT OF COLUMBIA,1221,1582,44538"
"05,AR,ARKANSAS,1218,2384,26126"
"31,NE,NEBRASKA,1149,2224,29263"
"21,KY,KENTUCKY,1136,2123,34355"
"30,MT,MONTANA,1120,1984,23794"
"28,MS,MISSISSIPPI,1058,2050,26693"
"33,NH,NEW HAMPSHIRE,824,1312,113362"
"44,RI,RHODE ISLAND,621,1082,20413"
"56,WY,WYOMING,613,1193,15714"
"23,ME,MAINE,603,1002,24513"
"46,SD,SOUTH DAKOTA,462,884,10589"
"50,VT,VERMONT,376,590,11520"
"38,ND,NORTH DAKOTA,361,716,13243"
"10,DE,DELAWARE,327,575,11694"
"54,WV,WEST VIRGINIA,311,522,7747"
