"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,09-CONNECTICUT,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,CT,CT Total Mig - US & For,33780,61377,1803045"
"97,CT,CT Total Mig - US,32020,58665,1737523"
"98,CT,CT Total Mig - Foreign,1760,2712,65522"
"09,CT,CT Non-Migrants,1214701,2551739,64190713"
"36,NY,NEW YORK,8389,15501,583295"
"25,MA,MASSACHUSETTS,3750,6170,174732"
"12,FL,FLORIDA,2574,4486,85741"
"06,CA,CALIFORNIA,1880,3583,110757"
"34,NJ,NEW JERSEY,1785,3214,123363"
"57,FR,Foreign - Total,1760,2712,65522"
"42,PA,PENNSYLVANIA,1272,2323,65623"
"44,RI,RHODE ISLAND,1021,1753,41051"
"51,VA,VIRGINIA,1008,2065,42573"
"48,TX,TEXAS,871,1781,60779"
"37,NC,NORTH CAROLINA,694,1312,29642"
"17,IL,ILLINOIS,674,1423,65987"
"13,GA,GEORGIA,611,1248,32964"
"33,NH,NEW HAMPSHIRE,575,1023,21481"
"39,OH,OHIO,571,1076,41960"
"24,MD,MARYLAND,559,1075,32265"
"23,ME,MAINE,487,835,12469"
"45,SC,SOUTH CAROLINA,441,970,14514"
"08,CO,COLORADO,439,736,15749"
"26,MI,MICHIGAN,398,734,19208"
"53,WA,WASHINGTON,336,684,13179"
"50,VT,VERMONT,320,485,9275"
"04,AZ,ARIZONA,301,525,13414"
"18,IN,INDIANA,225,440,11807"
"47,TN,TENNESSEE,220,423,9379"
"29,MO,MISSOURI,199,389,14032"
"27,MN,MINNESOTA,195,368,10678"
"11,DC,DISTRICT OF COLUMBIA,185,247,8513"
"55,WI,WISCONSIN,179,347,9679"
"15,HI,HAWAII,154,309,4508"
"01,AL,ALABAMA,149,279,5151"
"22,LA,LOUISIANA,149,293,5772"
"41,OR,OREGON,132,205,4733"
"20,KS,KANSAS,120,228,5382"
"21,KY,KENTUCKY,120,235,4538"
"10,DE,DELAWARE,110,220,4824"
"32,NV,NEVADA,109,177,2716"
"40,OK,OKLAHOMA,97,163,2688"
"35,NM,NEW MEXICO,94,152,3077"
"19,IA,IOWA,86,155,3026"
"49,UT,UTAH,83,187,3000"
"28,MS,MISSISSIPPI,70,139,1885"
"54,WV,WEST VIRGINIA,64,119,2390"
"31,NE,NEBRASKA,63,116,2392"
"30,MT,MONTANA,55,83,1127"
"16,ID,IDAHO,53,113,2132"
"02,AK,ALASKA,46,84,1034"
"05,AR,ARKANSAS,44,82,1326"
"56,WY,WYOMING,25,42,837"
"46,SD,SOUTH DAKOTA,22,30,449"
"38,ND,NORTH DAKOTA,16,38,427"
