"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,13-GEORGIA,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,GA,GA Total Mig - US & For,121273,247618,4017432"
"97,GA,GA Total Mig - US,115317,235075,3890758"
"98,GA,GA Total Mig - Foreign,5956,12543,126674"
"13,GA,GA Non-Migrants,2400440,5393640,93065354"
"12,FL,FLORIDA,19457,38046,598531"
"01,AL,ALABAMA,8360,17285,230852"
"48,TX,TEXAS,6683,15129,240816"
"37,NC,NORTH CAROLINA,6667,13348,231054"
"36,NY,NEW YORK,6495,12708,212523"
"45,SC,SOUTH CAROLINA,6441,12911,194417"
"06,CA,CALIFORNIA,6345,13756,229773"
"47,TN,TENNESSEE,6138,12316,191304"
"57,FR,Foreign - Total,5956,12543,126674"
"51,VA,VIRGINIA,4772,9710,169669"
"39,OH,OHIO,3656,7099,131812"
"17,IL,ILLINOIS,3410,7136,157818"
"42,PA,PENNSYLVANIA,3025,5770,118331"
"34,NJ,NEW JERSEY,2991,5967,134935"
"24,MD,MARYLAND,2442,4970,99331"
"22,LA,LOUISIANA,2416,5152,66677"
"26,MI,MICHIGAN,2411,4590,82060"
"21,KY,KENTUCKY,1758,3786,51540"
"28,MS,MISSISSIPPI,1631,3353,44970"
"18,IN,INDIANA,1614,3177,54876"
"25,MA,MASSACHUSETTS,1612,2960,74282"
"09,CT,CONNECTICUT,1566,3161,70452"
"08,CO,COLORADO,1466,3108,49976"
"29,MO,MISSOURI,1416,2872,49948"
"53,WA,WASHINGTON,1213,2732,40052"
"04,AZ,ARIZONA,1018,2224,31199"
"20,KS,KANSAS,970,2381,35613"
"40,OK,OKLAHOMA,938,2030,24642"
"55,WI,WISCONSIN,863,1700,32086"
"15,HI,HAWAII,802,2011,23812"
"05,AR,ARKANSAS,701,1529,21910"
"27,MN,MINNESOTA,683,1302,29200"
"54,WV,WEST VIRGINIA,511,1018,12263"
"02,AK,ALASKA,427,1069,11057"
"19,IA,IOWA,388,725,11797"
"35,NM,NEW MEXICO,378,795,10501"
"11,DC,DISTRICT OF COLUMBIA,371,581,12470"
"32,NV,NEVADA,361,693,11498"
"31,NE,NEBRASKA,360,793,13150"
"33,NH,NEW HAMPSHIRE,320,628,12632"
"41,OR,OREGON,318,632,11200"
"49,UT,UTAH,317,726,11755"
"10,DE,DELAWARE,291,588,11280"
"23,ME,MAINE,283,512,7824"
"44,RI,RHODE ISLAND,263,507,9913"
"46,SD,SOUTH DAKOTA,153,351,4074"
"16,ID,IDAHO,132,300,3046"
"50,VT,VERMONT,128,238,3710"
"38,ND,NORTH DAKOTA,123,267,3189"
"56,WY,WYOMING,120,214,2324"
"30,MT,MONTANA,113,219,2613"
