"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,15-HAWAII,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,HI,HI Total Mig - US & For,22105,43920,587910"
"97,HI,HI Total Mig - US,19117,38664,530214"
"98,HI,HI Total Mig - Foreign,2988,5256,57696"
"15,HI,HI Non-Migrants,422923,892791,16527301"
"06,CA,CALIFORNIA,5142,9732,148877"
"57,FR,Foreign - Total,2988,5256,57696"
"48,TX,TEXAS,1253,2714,32526"
"53,WA,WASHINGTON,1140,2293,33148"
"51,VA,VIRGINIA,880,2164,30807"
"12,FL,FLORIDA,844,1673,21153"
"37,NC,NORTH CAROLINA,679,1695,16683"
"36,NY,NEW YORK,618,1111,15833"
"13,GA,GEORGIA,581,1374,14995"
"08,CO,COLORADO,537,1055,14466"
"04,AZ,ARIZONA,506,978,13367"
"17,IL,ILLINOIS,406,785,11820"
"41,OR,OREGON,395,650,9966"
"24,MD,MARYLAND,371,905,15537"
"42,PA,PENNSYLVANIA,359,625,9611"
"32,NV,NEVADA,313,527,7940"
"45,SC,SOUTH CAROLINA,309,770,8601"
"39,OH,OHIO,291,541,6862"
"01,AL,ALABAMA,261,659,7405"
"25,MA,MASSACHUSETTS,257,398,7465"
"26,MI,MICHIGAN,254,370,5564"
"02,AK,ALASKA,235,465,7626"
"21,KY,KENTUCKY,230,554,5178"
"34,NJ,NEW JERSEY,230,419,7287"
"40,OK,OKLAHOMA,230,524,5610"
"20,KS,KANSAS,220,531,5930"
"22,LA,LOUISIANA,203,497,4823"
"47,TN,TENNESSEE,200,438,4777"
"29,MO,MISSOURI,194,395,4329"
"27,MN,MINNESOTA,184,285,5032"
"09,CT,CONNECTICUT,176,369,5133"
"49,UT,UTAH,174,350,4376"
"18,IN,INDIANA,154,279,4195"
"55,WI,WISCONSIN,138,225,3080"
"35,NM,NEW MEXICO,132,229,3676"
"28,MS,MISSISSIPPI,121,296,3077"
"16,ID,IDAHO,95,182,2383"
"23,ME,MAINE,92,226,2634"
"05,AR,ARKANSAS,91,186,2554"
"19,IA,IOWA,86,150,2087"
"31,NE,NEBRASKA,76,161,2136"
"30,MT,MONTANA,66,118,1554"
"11,DC,DISTRICT OF COLUMBIA,63,115,2018"
"44,RI,RHODE ISLAND,59,132,1867"
"33,NH,NEW HAMPSHIRE,53,90,1495"
"38,ND,NORTH DAKOTA,43,84,898"
"54,WV,WEST VIRGINIA,41,75,766"
"56,WY,WYOMING,39,75,936"
"46,SD,SOUTH DAKOTA,37,67,755"
"50,VT,VERMONT,31,58,704"
"10,DE,DELAWARE,28,70,675"
