"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,18-INDIANA,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,IN,IN Total Mig - US & For,58200,119962,1895483"
"97,IN,IN Total Mig - US,55699,116272,1862297"
"98,IN,IN Total Mig - Foreign,2501,3690,33186"
"18,IN,IN Non-Migrants,2102941,4739132,81795670"
"17,IL,ILLINOIS,9351,19629,344339"
"39,OH,OHIO,5741,11660,195468"
"21,KY,KENTUCKY,4596,9350,130443"
"26,MI,MICHIGAN,4553,9091,151054"
"12,FL,FLORIDA,4163,7901,105746"
"06,CA,CALIFORNIA,3378,7532,127413"
"48,TX,TEXAS,2814,6421,86960"
"57,FR,Foreign - Total,2501,3690,33186"
"47,TN,TENNESSEE,1444,2972,40400"
"29,MO,MISSOURI,1279,2669,46199"
"42,PA,PENNSYLVANIA,1261,2737,51896"
"36,NY,NEW YORK,1230,2574,46078"
"13,GA,GEORGIA,1228,2684,41580"
"37,NC,NORTH CAROLINA,1216,2576,38817"
"51,VA,VIRGINIA,1169,2613,40919"
"55,WI,WISCONSIN,987,2037,40689"
"04,AZ,ARIZONA,916,1863,26379"
"08,CO,COLORADO,757,1520,22641"
"19,IA,IOWA,650,1414,22780"
"27,MN,MINNESOTA,599,1234,22002"
"53,WA,WASHINGTON,570,1223,16225"
"34,NJ,NEW JERSEY,549,1140,30384"
"45,SC,SOUTH CAROLINA,528,1192,17868"
"01,AL,ALABAMA,526,1166,15355"
"24,MD,MARYLAND,491,992,19662"
"40,OK,OKLAHOMA,487,1039,13374"
"20,KS,KANSAS,463,1020,15713"
"22,LA,LOUISIANA,448,992,13554"
"05,AR,ARKANSAS,404,906,11241"
"28,MS,MISSISSIPPI,403,854,10509"
"25,MA,MASSACHUSETTS,363,670,19371"
"54,WV,WEST VIRGINIA,322,713,9742"
"32,NV,NEVADA,312,595,8285"
"09,CT,CONNECTICUT,300,598,15714"
"31,NE,NEBRASKA,284,639,9205"
"35,NM,NEW MEXICO,258,560,6884"
"41,OR,OREGON,227,468,6675"
"49,UT,UTAH,201,495,6187"
"15,HI,HAWAII,181,389,4464"
"02,AK,ALASKA,135,287,3528"
"46,SD,SOUTH DAKOTA,111,235,2853"
"56,WY,WYOMING,106,199,2341"
"16,ID,IDAHO,103,230,3103"
"30,MT,MONTANA,98,243,2001"
"38,ND,NORTH DAKOTA,92,187,2126"
"33,NH,NEW HAMPSHIRE,89,179,2726"
"23,ME,MAINE,80,183,2030"
"11,DC,DISTRICT OF COLUMBIA,74,98,4036"
"10,DE,DELAWARE,68,134,2879"
"44,RI,RHODE ISLAND,65,112,1796"
"50,VT,VERMONT,29,57,663"
