"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,21-KENTUCKY,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,KY,KY Total Mig - US & For,42989,90324,1266138"
"97,KY,KY Total Mig - US,40874,86445,1228485"
"98,KY,KY Total Mig - Foreign,2115,3879,37654"
"21,KY,KY Non-Migrants,1275912,2879637,43737349"
"39,OH,OHIO,6045,11648,176163"
"18,IN,INDIANA,4527,9095,121867"
"47,TN,TENNESSEE,4238,9840,108087"
"12,FL,FLORIDA,3031,5980,80063"
"57,FR,Foreign - Total,2115,3879,37654"
"17,IL,ILLINOIS,1992,4124,70335"
"48,TX,TEXAS,1894,4342,60263"
"06,CA,CALIFORNIA,1614,3368,53972"
"13,GA,GEORGIA,1435,3113,43068"
"37,NC,NORTH CAROLINA,1333,2917,38025"
"26,MI,MICHIGAN,1315,2799,44764"
"51,VA,VIRGINIA,1290,2788,44633"
"36,NY,NEW YORK,952,1924,32881"
"29,MO,MISSOURI,829,1757,24527"
"42,PA,PENNSYLVANIA,826,1824,32029"
"54,WV,WEST VIRGINIA,825,1810,24512"
"01,AL,ALABAMA,723,1568,21444"
"45,SC,SOUTH CAROLINA,639,1413,18622"
"08,CO,COLORADO,536,1190,16554"
"24,MD,MARYLAND,460,1030,17790"
"22,LA,LOUISIANA,457,1042,13451"
"20,KS,KANSAS,442,1091,14443"
"53,WA,WASHINGTON,436,989,12688"
"04,AZ,ARIZONA,428,868,11428"
"34,NJ,NEW JERSEY,390,846,19229"
"55,WI,WISCONSIN,380,812,12520"
"05,AR,ARKANSAS,372,841,11209"
"40,OK,OKLAHOMA,359,823,9223"
"28,MS,MISSISSIPPI,335,735,8600"
"15,HI,HAWAII,321,699,7385"
"25,MA,MASSACHUSETTS,244,474,9201"
"19,IA,IOWA,219,436,7078"
"27,MN,MINNESOTA,216,468,8407"
"09,CT,CONNECTICUT,186,359,9174"
"35,NM,NEW MEXICO,182,373,4947"
"32,NV,NEVADA,161,338,4642"
"49,UT,UTAH,157,384,4983"
"02,AK,ALASKA,156,364,4053"
"41,OR,OREGON,137,293,3999"
"31,NE,NEBRASKA,129,261,3877"
"23,ME,MAINE,94,207,2847"
"33,NH,NEW HAMPSHIRE,75,145,2394"
"16,ID,IDAHO,73,189,1887"
"30,MT,MONTANA,65,158,1492"
"46,SD,SOUTH DAKOTA,64,131,1724"
"56,WY,WYOMING,54,119,1461"
"50,VT,VERMONT,51,96,1140"
"10,DE,DELAWARE,48,106,1644"
"44,RI,RHODE ISLAND,47,95,1180"
"11,DC,DISTRICT OF COLUMBIA,46,70,1421"
"38,ND,NORTH DAKOTA,46,103,1157"
