"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,25-MASSACHUSETTS,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,MA,MA Total Mig - US & For,63409,100566,2396813"
"97,MA,MA Total Mig - US,58235,93824,2324576"
"98,MA,MA Total Mig - Foreign,5174,6742,72237"
"25,MA,MA Non-Migrants,2236455,4605421,102907201"
"36,NY,NEW YORK,7815,11850,346802"
"33,NH,NEW HAMPSHIRE,5499,8952,192337"
"09,CT,CONNECTICUT,5387,8294,253013"
"57,FR,Foreign - Total,5174,6742,72237"
"06,CA,CALIFORNIA,4673,7442,190832"
"12,FL,FLORIDA,4563,7374,129968"
"44,RI,RHODE ISLAND,3966,6587,153049"
"34,NJ,NEW JERSEY,2564,4136,137840"
"42,PA,PENNSYLVANIA,2257,3618,91687"
"23,ME,MAINE,1801,2708,51719"
"51,VA,VIRGINIA,1735,2906,68778"
"48,TX,TEXAS,1633,3022,71562"
"17,IL,ILLINOIS,1344,2218,74036"
"24,MD,MARYLAND,1274,2073,56141"
"50,VT,VERMONT,1186,1783,33354"
"37,NC,NORTH CAROLINA,1172,2024,38979"
"39,OH,OHIO,1116,1852,53204"
"08,CO,COLORADO,936,1457,32330"
"13,GA,GEORGIA,868,1500,33322"
"26,MI,MICHIGAN,795,1313,38504"
"53,WA,WASHINGTON,674,1070,26395"
"04,AZ,ARIZONA,608,980,16888"
"11,DC,DISTRICT OF COLUMBIA,501,603,18975"
"27,MN,MINNESOTA,470,747,21029"
"45,SC,SOUTH CAROLINA,414,747,12529"
"18,IN,INDIANA,410,704,17502"
"55,WI,WISCONSIN,403,641,17921"
"29,MO,MISSOURI,354,560,12138"
"47,TN,TENNESSEE,336,591,13151"
"41,OR,OREGON,307,497,9430"
"22,LA,LOUISIANA,276,492,7903"
"15,HI,HAWAII,266,420,7371"
"35,NM,NEW MEXICO,245,436,7280"
"01,AL,ALABAMA,228,438,7461"
"21,KY,KENTUCKY,222,402,8414"
"49,UT,UTAH,211,397,7308"
"32,NV,NEVADA,206,316,6092"
"20,KS,KANSAS,183,337,17226"
"19,IA,IOWA,177,300,6564"
"10,DE,DELAWARE,161,293,8035"
"40,OK,OKLAHOMA,144,258,4033"
"31,NE,NEBRASKA,110,201,4543"
"28,MS,MISSISSIPPI,105,181,2558"
"05,AR,ARKANSAS,104,191,3497"
"54,WV,WEST VIRGINIA,102,159,2583"
"02,AK,ALASKA,101,204,2948"
"30,MT,MONTANA,97,149,1549"
"16,ID,IDAHO,76,133,2315"
"56,WY,WYOMING,72,112,1384"
"38,ND,NORTH DAKOTA,45,76,934"
"46,SD,SOUTH DAKOTA,43,80,1162"
