"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,23-MAINE,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,ME,ME Total Mig - US & For,13891,26211,436643"
"97,ME,ME Total Mig - US,13240,25039,424103"
"98,ME,ME Total Mig - Foreign,651,1172,12540"
"23,ME,ME Non-Migrants,445453,974495,15111607"
"25,MA,MASSACHUSETTS,2124,3720,80150"
"33,NH,NEW HAMPSHIRE,1601,2928,46550"
"12,FL,FLORIDA,1249,2324,31158"
"36,NY,NEW YORK,911,1641,32517"
"09,CT,CONNECTICUT,852,1587,30178"
"06,CA,CALIFORNIA,655,1223,21701"
"57,FR,Foreign - Total,651,1172,12540"
"51,VA,VIRGINIA,521,1174,17555"
"42,PA,PENNSYLVANIA,422,797,13618"
"34,NJ,NEW JERSEY,375,697,14881"
"48,TX,TEXAS,358,790,11035"
"37,NC,NORTH CAROLINA,317,620,7658"
"50,VT,VERMONT,307,570,7962"
"24,MD,MARYLAND,283,598,11990"
"39,OH,OHIO,220,390,8053"
"08,CO,COLORADO,216,426,6287"
"44,RI,RHODE ISLAND,213,383,5735"
"17,IL,ILLINOIS,189,348,7083"
"04,AZ,ARIZONA,182,339,3942"
"13,GA,GEORGIA,162,320,4904"
"53,WA,WASHINGTON,159,305,4036"
"26,MI,MICHIGAN,144,285,4195"
"45,SC,SOUTH CAROLINA,144,302,4251"
"47,TN,TENNESSEE,114,242,2762"
"18,IN,INDIANA,97,188,2975"
"15,HI,HAWAII,93,215,2681"
"55,WI,WISCONSIN,88,173,5075"
"35,NM,NEW MEXICO,87,177,2229"
"02,AK,ALASKA,86,184,2471"
"27,MN,MINNESOTA,86,137,1782"
"29,MO,MISSOURI,85,179,2220"
"41,OR,OREGON,85,150,2091"
"01,AL,ALABAMA,66,125,2456"
"21,KY,KENTUCKY,64,132,1680"
"22,LA,LOUISIANA,64,116,1804"
"20,KS,KANSAS,58,119,1688"
"49,UT,UTAH,57,146,1887"
"10,DE,DELAWARE,53,100,2887"
"19,IA,IOWA,51,101,1517"
"28,MS,MISSISSIPPI,48,95,922"
"40,OK,OKLAHOMA,48,92,1092"
"32,NV,NEVADA,41,74,1240"
"11,DC,DISTRICT OF COLUMBIA,38,55,1596"
"30,MT,MONTANA,38,82,913"
"31,NE,NEBRASKA,33,64,1074"
"54,WV,WEST VIRGINIA,33,76,1074"
"56,WY,WYOMING,32,59,592"
"05,AR,ARKANSAS,29,56,558"
"16,ID,IDAHO,25,48,523"
"46,SD,SOUTH DAKOTA,22,54,444"
"38,ND,NORTH DAKOTA,15,33,430"
