"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,26-MICHIGAN,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,MI,MI Total Mig - US & For,65227,129983,2249271"
"97,MI,MI Total Mig - US,60958,123726,2166481"
"98,MI,MI Total Mig - Foreign,4269,6257,82791"
"26,MI,MI Non-Migrants,3361927,7459302,143731319"
"39,OH,OHIO,6108,12369,255651"
"12,FL,FLORIDA,6105,11265,173286"
"17,IL,ILLINOIS,4976,9937,216756"
"06,CA,CALIFORNIA,4550,9184,153741"
"18,IN,INDIANA,4392,9212,170223"
"57,FR,Foreign - Total,4269,6257,82791"
"48,TX,TEXAS,3732,8453,124082"
"36,NY,NEW YORK,2219,4320,87593"
"55,WI,WISCONSIN,2012,4095,68728"
"37,NC,NORTH CAROLINA,1737,3568,53867"
"51,VA,VIRGINIA,1706,3673,60637"
"42,PA,PENNSYLVANIA,1696,3452,75883"
"47,TN,TENNESSEE,1656,3387,49598"
"13,GA,GEORGIA,1653,3321,52431"
"04,AZ,ARIZONA,1439,2706,40318"
"08,CO,COLORADO,1273,2504,38369"
"29,MO,MISSOURI,1113,2311,42485"
"27,MN,MINNESOTA,1030,2016,37914"
"21,KY,KENTUCKY,1000,2151,32646"
"53,WA,WASHINGTON,999,2053,29360"
"34,NJ,NEW JERSEY,920,1897,44218"
"24,MD,MARYLAND,826,1628,34856"
"25,MA,MASSACHUSETTS,740,1361,30630"
"01,AL,ALABAMA,689,1441,17451"
"45,SC,SOUTH CAROLINA,680,1437,19758"
"19,IA,IOWA,578,1233,22535"
"20,KS,KANSAS,552,1240,24962"
"09,CT,CONNECTICUT,530,1128,33622"
"40,OK,OKLAHOMA,526,1140,16127"
"32,NV,NEVADA,519,922,14082"
"22,LA,LOUISIANA,491,992,14153"
"05,AR,ARKANSAS,427,919,7987"
"15,HI,HAWAII,425,806,9218"
"28,MS,MISSISSIPPI,385,793,8327"
"41,OR,OREGON,345,657,10391"
"35,NM,NEW MEXICO,329,696,8768"
"02,AK,ALASKA,322,669,8821"
"54,WV,WEST VIRGINIA,273,554,7773"
"31,NE,NEBRASKA,257,576,11010"
"49,UT,UTAH,233,534,7223"
"30,MT,MONTANA,171,340,3828"
"11,DC,DISTRICT OF COLUMBIA,169,235,5208"
"33,NH,NEW HAMPSHIRE,169,367,8271"
"16,ID,IDAHO,166,383,4526"
"23,ME,MAINE,143,315,4960"
"38,ND,NORTH DAKOTA,133,294,3828"
"56,WY,WYOMING,128,278,2987"
"46,SD,SOUTH DAKOTA,124,263,3503"
"44,RI,RHODE ISLAND,119,243,5977"
"10,DE,DELAWARE,106,238,4796"
"50,VT,VERMONT,87,170,3115"
