"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,37-NORTH CAROLINA,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,NC,NC Total Mig - US & For,118952,240626,3959380"
"97,NC,NC Total Mig - US,112554,227875,3829051"
"98,NC,NC Total Mig - Foreign,6398,12751,130329"
"37,NC,NC Non-Migrants,2579265,5635531,93225872"
"12,FL,FLORIDA,12192,25220,390412"
"51,VA,VIRGINIA,11729,23324,400170"
"36,NY,NEW YORK,10492,20715,356138"
"45,SC,SOUTH CAROLINA,8872,17397,267332"
"57,FR,Foreign - Total,6398,12751,130329"
"13,GA,GEORGIA,6053,12029,202869"
"06,CA,CALIFORNIA,5650,12596,204973"
"48,TX,TEXAS,5152,11500,193687"
"42,PA,PENNSYLVANIA,4957,9397,183403"
"34,NJ,NEW JERSEY,4139,8314,189057"
"39,OH,OHIO,4123,7939,142276"
"24,MD,MARYLAND,3718,7366,133652"
"47,TN,TENNESSEE,2960,5895,90674"
"17,IL,ILLINOIS,2533,5148,111093"
"26,MI,MICHIGAN,2332,4440,80045"
"54,WV,WEST VIRGINIA,2166,4179,45899"
"09,CT,CONNECTICUT,1919,3807,95897"
"25,MA,MASSACHUSETTS,1868,3528,71799"
"01,AL,ALABAMA,1700,3516,51812"
"18,IN,INDIANA,1618,3276,56021"
"21,KY,KENTUCKY,1511,3241,46544"
"08,CO,COLORADO,1226,2500,36558"
"53,WA,WASHINGTON,1174,2517,36728"
"22,LA,LOUISIANA,1172,2548,34517"
"04,AZ,ARIZONA,1081,2381,31234"
"29,MO,MISSOURI,1055,2154,37196"
"55,WI,WISCONSIN,832,1623,30236"
"40,OK,OKLAHOMA,783,1741,19876"
"28,MS,MISSISSIPPI,768,1640,20850"
"15,HI,HAWAII,765,2002,21635"
"20,KS,KANSAS,756,1754,27976"
"27,MN,MINNESOTA,667,1250,25020"
"11,DC,DISTRICT OF COLUMBIA,545,888,15295"
"33,NH,NEW HAMPSHIRE,539,971,16761"
"19,IA,IOWA,530,1020,16209"
"05,AR,ARKANSAS,511,1057,15571"
"23,ME,MAINE,490,882,11893"
"02,AK,ALASKA,434,1054,12868"
"35,NM,NEW MEXICO,433,882,13815"
"41,OR,OREGON,398,812,11265"
"10,DE,DELAWARE,381,733,13744"
"32,NV,NEVADA,367,743,10963"
"44,RI,RHODE ISLAND,367,697,12503"
"50,VT,VERMONT,359,647,11374"
"31,NE,NEBRASKA,289,564,7846"
"49,UT,UTAH,272,649,8030"
"16,ID,IDAHO,160,350,4020"
"30,MT,MONTANA,156,300,3520"
"46,SD,SOUTH DAKOTA,129,245,3078"
"56,WY,WYOMING,117,212,2138"
"38,ND,NORTH DAKOTA,114,232,2577"
