"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,35-NEW MEXICO,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,NM,NM Total Mig - US & For,32407,67836,918652"
"97,NM,NM Total Mig - US,30938,64591,886338"
"98,NM,NM Total Mig - Foreign,1469,3245,32314"
"35,NM,NM Non-Migrants,557864,1282581,17858827"
"48,TX,TEXAS,6449,14745,162860"
"06,CA,CALIFORNIA,4076,8199,127229"
"04,AZ,ARIZONA,3257,7970,75043"
"08,CO,COLORADO,2329,4709,62373"
"57,FR,Foreign - Total,1469,3245,32314"
"12,FL,FLORIDA,1041,2164,34707"
"36,NY,NEW YORK,901,1476,32021"
"17,IL,ILLINOIS,756,1333,28005"
"53,WA,WASHINGTON,694,1338,19330"
"40,OK,OKLAHOMA,608,1314,17171"
"32,NV,NEVADA,597,1238,16437"
"51,VA,VIRGINIA,592,1253,24974"
"49,UT,UTAH,576,1508,12649"
"39,OH,OHIO,505,966,15612"
"42,PA,PENNSYLVANIA,452,776,13240"
"20,KS,KANSAS,444,986,12930"
"26,MI,MICHIGAN,431,738,11258"
"41,OR,OREGON,410,784,12722"
"13,GA,GEORGIA,398,893,13089"
"29,MO,MISSOURI,382,711,11032"
"27,MN,MINNESOTA,341,563,11076"
"24,MD,MARYLAND,326,567,12399"
"55,WI,WISCONSIN,324,554,8843"
"34,NJ,NEW JERSEY,313,530,12887"
"25,MA,MASSACHUSETTS,307,500,11139"
"37,NC,NORTH CAROLINA,306,593,8364"
"18,IN,INDIANA,291,540,7318"
"22,LA,LOUISIANA,280,559,9042"
"02,AK,ALASKA,266,597,7955"
"56,WY,WYOMING,265,600,6783"
"19,IA,IOWA,243,422,6495"
"47,TN,TENNESSEE,223,416,6739"
"16,ID,IDAHO,220,507,5495"
"30,MT,MONTANA,213,426,4911"
"31,NE,NEBRASKA,210,436,5617"
"05,AR,ARKANSAS,196,398,4552"
"45,SC,SOUTH CAROLINA,190,454,5268"
"15,HI,HAWAII,182,393,5296"
"09,CT,CONNECTICUT,178,264,8639"
"01,AL,ALABAMA,171,343,4739"
"21,KY,KENTUCKY,150,296,3358"
"28,MS,MISSISSIPPI,143,287,3725"
"46,SD,SOUTH DAKOTA,130,276,5146"
"11,DC,DISTRICT OF COLUMBIA,97,136,4998"
"23,ME,MAINE,96,152,2209"
"33,NH,NEW HAMPSHIRE,90,153,2452"
"38,ND,NORTH DAKOTA,89,195,2224"
"50,VT,VERMONT,72,110,2489"
"54,WV,WEST VIRGINIA,56,107,1593"
"44,RI,RHODE ISLAND,44,63,1123"
"10,DE,DELAWARE,28,53,785"
