"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,36-NEW YORK,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,NY,NY Total Mig - US & For,110404,181248,3924807"
"97,NY,NY Total Mig - US,99268,165557,3638918"
"98,NY,NY Total Mig - Foreign,11136,15691,285889"
"36,NY,NY Non-Migrants,6158621,13140072,269612681"
"34,NJ,NEW JERSEY,16203,27021,744724"
"12,FL,FLORIDA,11144,18791,289910"
"57,FR,Foreign - Total,11136,15691,285889"
"06,CA,CALIFORNIA,8778,13667,354453"
"42,PA,PENNSYLVANIA,7469,12770,252036"
"25,MA,MASSACHUSETTS,5802,8351,210637"
"09,CT,CONNECTICUT,5792,9267,325876"
"51,VA,VIRGINIA,3945,6831,126388"
"48,TX,TEXAS,3630,6625,138083"
"37,NC,NORTH CAROLINA,3037,5465,78592"
"17,IL,ILLINOIS,2782,4393,146825"
"24,MD,MARYLAND,2722,4438,104558"
"39,OH,OHIO,2471,4155,86114"
"13,GA,GEORGIA,2297,4206,69233"
"26,MI,MICHIGAN,1704,2899,62656"
"08,CO,COLORADO,1475,2294,38580"
"04,AZ,ARIZONA,1305,2184,33539"
"53,WA,WASHINGTON,1271,2148,35887"
"11,DC,DISTRICT OF COLUMBIA,1192,1485,45148"
"45,SC,SOUTH CAROLINA,1177,2184,28663"
"50,VT,VERMONT,969,1591,28165"
"47,TN,TENNESSEE,965,1702,30458"
"18,IN,INDIANA,864,1598,31069"
"44,RI,RHODE ISLAND,823,1291,27217"
"29,MO,MISSOURI,790,1341,29220"
"33,NH,NEW HAMPSHIRE,781,1334,26885"
"55,WI,WISCONSIN,750,1243,28411"
"27,MN,MINNESOTA,735,1138,32423"
"15,HI,HAWAII,658,1243,16663"
"23,ME,MAINE,652,1142,21357"
"22,LA,LOUISIANA,648,1171,23078"
"01,AL,ALABAMA,617,1194,15331"
"21,KY,KENTUCKY,590,1152,18421"
"32,NV,NEVADA,568,890,12764"
"20,KS,KANSAS,514,1029,16689"
"41,OR,OREGON,503,781,12322"
"40,OK,OKLAHOMA,435,858,9845"
"35,NM,NEW MEXICO,415,689,11306"
"10,DE,DELAWARE,394,624,13736"
"19,IA,IOWA,338,562,9777"
"49,UT,UTAH,326,631,8307"
"54,WV,WEST VIRGINIA,272,491,8511"
"02,AK,ALASKA,271,607,7035"
"05,AR,ARKANSAS,229,423,5135"
"28,MS,MISSISSIPPI,217,397,4903"
"31,NE,NEBRASKA,205,360,6166"
"30,MT,MONTANA,140,213,2164"
"16,ID,IDAHO,131,236,3491"
"38,ND,NORTH DAKOTA,104,158,2129"
"56,WY,WYOMING,85,164,1773"
"46,SD,SOUTH DAKOTA,83,130,2262"
