"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,42-PENNSYLVANIA,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,PA,PA Total Mig - US & For,85282,162840,3193289"
"97,PA,PA Total Mig - US,80090,155008,3105195"
"98,PA,PA Total Mig - Foreign,5192,7832,88094"
"42,PA,PA Non-Migrants,4396269,9498614,172576494"
"34,NJ,NEW JERSEY,13268,24541,546777"
"36,NY,NEW YORK,10674,21054,416898"
"24,MD,MARYLAND,6311,12444,239332"
"12,FL,FLORIDA,5971,10975,181431"
"57,FR,Foreign - Total,5192,7832,88094"
"39,OH,OHIO,4320,8248,158353"
"51,VA,VIRGINIA,4297,8296,159660"
"06,CA,CALIFORNIA,4202,8030,175280"
"48,TX,TEXAS,2585,5466,113271"
"37,NC,NORTH CAROLINA,2569,5142,81258"
"10,DE,DELAWARE,2188,4169,97743"
"25,MA,MASSACHUSETTS,1869,3248,79281"
"17,IL,ILLINOIS,1655,3346,87667"
"09,CT,CONNECTICUT,1622,3043,92079"
"13,GA,GEORGIA,1576,3120,54827"
"26,MI,MICHIGAN,1310,2578,63575"
"54,WV,WEST VIRGINIA,1208,2300,37733"
"08,CO,COLORADO,1008,1816,30547"
"45,SC,SOUTH CAROLINA,1004,2018,30198"
"18,IN,INDIANA,978,2079,45941"
"04,AZ,ARIZONA,963,1842,30922"
"47,TN,TENNESSEE,855,1715,32041"
"53,WA,WASHINGTON,753,1570,26775"
"29,MO,MISSOURI,646,1377,31466"
"21,KY,KENTUCKY,633,1323,22705"
"11,DC,DISTRICT OF COLUMBIA,512,685,18065"
"55,WI,WISCONSIN,508,1029,21336"
"27,MN,MINNESOTA,490,937,24093"
"01,AL,ALABAMA,463,1055,16327"
"22,LA,LOUISIANA,437,977,15511"
"33,NH,NEW HAMPSHIRE,398,788,17389"
"40,OK,OKLAHOMA,396,840,13493"
"20,KS,KANSAS,395,890,16001"
"23,ME,MAINE,383,743,11508"
"32,NV,NEVADA,375,700,10394"
"15,HI,HAWAII,331,653,11032"
"44,RI,RHODE ISLAND,314,590,11248"
"35,NM,NEW MEXICO,295,553,9590"
"41,OR,OREGON,285,528,9895"
"19,IA,IOWA,273,547,9373"
"49,UT,UTAH,247,579,9436"
"28,MS,MISSISSIPPI,245,563,6778"
"50,VT,VERMONT,199,376,5970"
"05,AR,ARKANSAS,184,385,5332"
"02,AK,ALASKA,182,363,5277"
"31,NE,NEBRASKA,163,356,6434"
"16,ID,IDAHO,137,299,4373"
"30,MT,MONTANA,122,219,2839"
"56,WY,WYOMING,108,200,2573"
"38,ND,NORTH DAKOTA,100,233,2384"
"46,SD,SOUTH DAKOTA,83,180,2783"
