"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,45-SOUTH CAROLINA,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,SC,SC Total Mig - US & For,54275,110569,1818445"
"97,SC,SC Total Mig - US,51812,105681,1765403"
"98,SC,SC Total Mig - Foreign,2463,4888,53043"
"45,SC,SC Non-Migrants,1285339,2847891,43548326"
"37,NC,NORTH CAROLINA,8842,17495,272676"
"13,GA,GEORGIA,5458,11189,177680"
"12,FL,FLORIDA,4938,10046,147337"
"36,NY,NEW YORK,3839,7683,128537"
"51,VA,VIRGINIA,2846,5863,99719"
"57,FR,Foreign - Total,2463,4888,53043"
"42,PA,PENNSYLVANIA,2148,4104,76889"
"39,OH,OHIO,2057,4042,79192"
"48,TX,TEXAS,1937,4247,68647"
"06,CA,CALIFORNIA,1811,4012,67634"
"34,NJ,NEW JERSEY,1685,3370,70060"
"24,MD,MARYLAND,1493,2929,55275"
"47,TN,TENNESSEE,1400,2910,47954"
"17,IL,ILLINOIS,1035,2132,46753"
"26,MI,MICHIGAN,956,1852,35241"
"01,AL,ALABAMA,922,2030,31906"
"18,IN,INDIANA,869,1932,31582"
"09,CT,CONNECTICUT,775,1525,36741"
"25,MA,MASSACHUSETTS,713,1425,25655"
"21,KY,KENTUCKY,669,1408,20822"
"54,WV,WEST VIRGINIA,667,1261,15795"
"29,MO,MISSOURI,492,1012,18532"
"08,CO,COLORADO,487,940,14156"
"22,LA,LOUISIANA,487,1071,15147"
"04,AZ,ARIZONA,411,789,11324"
"53,WA,WASHINGTON,402,932,12515"
"28,MS,MISSISSIPPI,381,819,10682"
"55,WI,WISCONSIN,356,714,18244"
"40,OK,OKLAHOMA,316,703,12362"
"20,KS,KANSAS,291,731,9741"
"15,HI,HAWAII,267,677,7642"
"05,AR,ARKANSAS,251,528,8309"
"33,NH,NEW HAMPSHIRE,216,404,6302"
"23,ME,MAINE,213,418,6627"
"27,MN,MINNESOTA,207,403,9127"
"44,RI,RHODE ISLAND,191,349,6303"
"19,IA,IOWA,187,381,12389"
"10,DE,DELAWARE,177,351,7504"
"32,NV,NEVADA,170,348,6863"
"11,DC,DISTRICT OF COLUMBIA,164,289,4833"
"35,NM,NEW MEXICO,164,388,5134"
"02,AK,ALASKA,157,365,4414"
"49,UT,UTAH,143,359,4494"
"50,VT,VERMONT,119,199,3374"
"41,OR,OREGON,117,217,3333"
"31,NE,NEBRASKA,106,198,2846"
"16,ID,IDAHO,66,148,1576"
"30,MT,MONTANA,61,129,1199"
"56,WY,WYOMING,56,121,1599"
"38,ND,NORTH DAKOTA,49,133,1409"
"46,SD,SOUTH DAKOTA,48,110,1328"
