"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,48-TEXAS,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,TX,TX Total Mig - US & For,187278,400384,6501182"
"97,TX,TX Total Mig - US,172721,372054,6178650"
"98,TX,TX Total Mig - Foreign,14557,28330,322533"
"48,TX,TX Non-Migrants,6073166,14334704,220678424"
"06,CA,CALIFORNIA,21777,48758,814723"
"57,FR,Foreign - Total,14557,28330,322533"
"12,FL,FLORIDA,11439,24780,402841"
"40,OK,OKLAHOMA,10218,21619,321825"
"22,LA,LOUISIANA,10075,21410,315913"
"17,IL,ILLINOIS,7232,15655,322042"
"08,CO,COLORADO,6576,14251,221140"
"35,NM,NEW MEXICO,6315,14278,176626"
"13,GA,GEORGIA,5849,12787,208646"
"36,NY,NEW YORK,5791,11494,229830"
"51,VA,VIRGINIA,5185,11207,207719"
"05,AR,ARKANSAS,4956,10397,131482"
"04,AZ,ARIZONA,4932,10578,161019"
"29,MO,MISSOURI,4697,9930,185892"
"37,NC,NORTH CAROLINA,4532,10384,158998"
"20,KS,KANSAS,4443,10239,172302"
"39,OH,OHIO,4188,8374,160509"
"53,WA,WASHINGTON,3689,8261,121449"
"26,MI,MICHIGAN,3624,7464,141492"
"47,TN,TENNESSEE,3572,7596,127236"
"42,PA,PENNSYLVANIA,3334,6504,136359"
"18,IN,INDIANA,2964,6180,113471"
"01,AL,ALABAMA,2870,6318,90529"
"24,MD,MARYLAND,2654,5788,111034"
"28,MS,MISSISSIPPI,2486,5275,65025"
"34,NJ,NEW JERSEY,2448,5211,142235"
"27,MN,MINNESOTA,2309,4954,91029"
"21,KY,KENTUCKY,1984,4426,64756"
"45,SC,SOUTH CAROLINA,1934,4318,63581"
"55,WI,WISCONSIN,1904,3899,58174"
"25,MA,MASSACHUSETTS,1768,3314,79933"
"19,IA,IOWA,1746,3324,52667"
"15,HI,HAWAII,1713,3965,49416"
"32,NV,NEVADA,1694,3333,43992"
"31,NE,NEBRASKA,1556,3398,53484"
"41,OR,OREGON,1294,2744,40315"
"49,UT,UTAH,1292,3218,47429"
"09,CT,CONNECTICUT,1148,2297,76454"
"02,AK,ALASKA,1083,2627,43355"
"16,ID,IDAHO,658,1636,17363"
"56,WY,WYOMING,612,1354,20602"
"46,SD,SOUTH DAKOTA,531,1082,12702"
"54,WV,WEST VIRGINIA,520,1099,17270"
"30,MT,MONTANA,509,1060,12481"
"38,ND,NORTH DAKOTA,486,1098,12438"
"11,DC,DISTRICT OF COLUMBIA,427,694,19006"
"33,NH,NEW HAMPSHIRE,415,783,15363"
"10,DE,DELAWARE,399,910,17352"
"23,ME,MAINE,397,765,10838"
"44,RI,RHODE ISLAND,282,596,9581"
"50,VT,VERMONT,214,422,8729"
