"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,49-UTAH,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,UT,UT Total Mig - US & For,27235,60210,845122"
"97,UT,UT Total Mig - US,26067,58140,827317"
"98,UT,UT Total Mig - Foreign,1168,2070,17804"
"49,UT,UT Non-Migrants,585449,1574048,23157892"
"06,CA,CALIFORNIA,6120,14236,204271"
"16,ID,IDAHO,2005,4500,49459"
"04,AZ,ARIZONA,1706,4104,48006"
"32,NV,NEVADA,1494,3415,42614"
"08,CO,COLORADO,1450,3079,48783"
"53,WA,WASHINGTON,1357,3118,42403"
"48,TX,TEXAS,1273,2936,45712"
"57,FR,Foreign - Total,1168,2070,17804"
"56,WY,WYOMING,805,1760,20743"
"41,OR,OREGON,734,1567,19761"
"12,FL,FLORIDA,627,1396,21202"
"35,NM,NEW MEXICO,565,1354,14000"
"36,NY,NEW YORK,524,1004,19135"
"17,IL,ILLINOIS,513,1014,21769"
"51,VA,VIRGINIA,452,967,17894"
"30,MT,MONTANA,433,940,9722"
"39,OH,OHIO,376,785,15311"
"42,PA,PENNSYLVANIA,328,625,11779"
"26,MI,MICHIGAN,309,642,11539"
"15,HI,HAWAII,294,667,7753"
"29,MO,MISSOURI,281,645,8869"
"13,GA,GEORGIA,275,606,10797"
"02,AK,ALASKA,263,597,8567"
"37,NC,NORTH CAROLINA,262,572,8050"
"27,MN,MINNESOTA,246,514,10286"
"55,WI,WISCONSIN,230,439,8005"
"24,MD,MARYLAND,221,503,9951"
"40,OK,OKLAHOMA,208,494,6183"
"20,KS,KANSAS,205,464,6187"
"25,MA,MASSACHUSETTS,200,338,7721"
"31,NE,NEBRASKA,197,470,5868"
"18,IN,INDIANA,196,428,6450"
"19,IA,IOWA,183,389,5166"
"47,TN,TENNESSEE,177,364,5747"
"34,NJ,NEW JERSEY,173,327,6812"
"01,AL,ALABAMA,148,372,5674"
"22,LA,LOUISIANA,148,333,4477"
"09,CT,CONNECTICUT,133,228,4763"
"45,SC,SOUTH CAROLINA,130,308,3143"
"21,KY,KENTUCKY,119,278,4185"
"46,SD,SOUTH DAKOTA,115,233,2241"
"28,MS,MISSISSIPPI,109,242,3254"
"05,AR,ARKANSAS,106,202,2530"
"33,NH,NEW HAMPSHIRE,87,161,3020"
"38,ND,NORTH DAKOTA,69,144,1522"
"23,ME,MAINE,61,92,1153"
"50,VT,VERMONT,43,53,850"
"54,WV,WEST VIRGINIA,33,67,731"
"44,RI,RHODE ISLAND,32,52,870"
"10,DE,DELAWARE,28,78,891"
"11,DC,DISTRICT OF COLUMBIA,24,38,1496"
