"1995 - 1996 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,51-VIRGINIA,,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"FROM:,,,RETURNS,EXEMPTIONS,INCOME"
"96,VA,VA Total Mig - US & For,113168,226285,3963395"
"97,VA,VA Total Mig - US,102589,204724,3680537"
"98,VA,VA Total Mig - Foreign,10579,21561,282858"
"51,VA,VA Non-Migrants,2347506,5102992,99854767"
"24,MD,MARYLAND,11523,20628,445883"
"57,FR,Foreign - Total,10579,21561,282858"
"37,NC,NORTH CAROLINA,8126,16476,242221"
"36,NY,NEW YORK,7749,14696,268082"
"12,FL,FLORIDA,7171,14714,242754"
"06,CA,CALIFORNIA,7123,15907,294318"
"42,PA,PENNSYLVANIA,5895,10619,199286"
"11,DC,DISTRICT OF COLUMBIA,4831,7617,194544"
"48,TX,TEXAS,4466,9793,170302"
"34,NJ,NEW JERSEY,4011,7701,170291"
"45,SC,SOUTH CAROLINA,3302,7664,98071"
"13,GA,GEORGIA,3288,6858,118770"
"39,OH,OHIO,2869,5541,100522"
"47,TN,TENNESSEE,2500,5175,73394"
"54,WV,WEST VIRGINIA,2381,4665,65017"
"17,IL,ILLINOIS,2258,4635,92743"
"25,MA,MASSACHUSETTS,1946,3399,72718"
"09,CT,CONNECTICUT,1748,3562,91331"
"26,MI,MICHIGAN,1585,2978,56850"
"08,CO,COLORADO,1399,2880,53336"
"01,AL,ALABAMA,1326,2972,46757"
"53,WA,WASHINGTON,1179,2672,42710"
"21,KY,KENTUCKY,1123,2388,35579"
"15,HI,HAWAII,1054,2722,40219"
"22,LA,LOUISIANA,1048,2240,32488"
"18,IN,INDIANA,1035,1981,34538"
"04,AZ,ARIZONA,1034,2198,35989"
"29,MO,MISSOURI,916,1799,33757"
"20,KS,KANSAS,707,1776,27084"
"40,OK,OKLAHOMA,704,1541,20812"
"28,MS,MISSISSIPPI,695,1606,19283"
"10,DE,DELAWARE,625,1212,23635"
"55,WI,WISCONSIN,612,1139,22626"
"27,MN,MINNESOTA,569,988,21984"
"44,RI,RHODE ISLAND,568,1334,21711"
"23,ME,MAINE,556,1123,18765"
"33,NH,NEW HAMPSHIRE,524,933,17763"
"35,NM,NEW MEXICO,523,1136,19938"
"05,AR,ARKANSAS,443,937,13873"
"19,IA,IOWA,401,735,12786"
"41,OR,OREGON,377,672,10223"
"02,AK,ALASKA,376,941,13162"
"31,NE,NEBRASKA,371,800,12029"
"49,UT,UTAH,352,729,15127"
"32,NV,NEVADA,314,648,10268"
"50,VT,VERMONT,263,509,7214"
"16,ID,IDAHO,193,431,5067"
"30,MT,MONTANA,152,291,3981"
"46,SD,SOUTH DAKOTA,140,304,4893"
"38,ND,NORTH DAKOTA,131,270,3533"
"56,WY,WYOMING,107,189,2312"
