"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,10-DELAWARE,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,DE,DE Total Mig - US & For,10880,21219,427310"
"97,DE,DE Total Mig - US,10574,20589,418755"
"98,DE,DE Total Mig - Foreign,306,630,8554"
"10,DE,DE Non-Migrants,264779,573433,11297645"
"42,PA,PENNSYLVANIA,2188,4169,97743"
"24,MD,MARYLAND,1781,3315,56991"
"12,FL,FLORIDA,901,1841,37250"
"34,NJ,NEW JERSEY,650,1173,22899"
"51,VA,VIRGINIA,625,1212,23635"
"48,TX,TEXAS,399,910,17352"
"36,NY,NEW YORK,394,624,13736"
"37,NC,NORTH CAROLINA,381,733,13744"
"06,CA,CALIFORNIA,327,575,11694"
"57,FR,Foreign - Total,306,630,8554"
"13,GA,GEORGIA,291,588,11280"
"39,OH,OHIO,237,475,13302"
"45,SC,SOUTH CAROLINA,177,351,7504"
"17,IL,ILLINOIS,161,392,8093"
"25,MA,MASSACHUSETTS,161,293,8035"
"47,TN,TENNESSEE,143,332,7341"
"04,AZ,ARIZONA,129,226,4741"
"08,CO,COLORADO,111,229,3589"
"09,CT,CONNECTICUT,110,220,4824"
"26,MI,MICHIGAN,106,238,4796"
"29,MO,MISSOURI,99,231,4916"
"53,WA,WASHINGTON,94,180,3483"
"54,WV,WEST VIRGINIA,93,185,3250"
"01,AL,ALABAMA,75,159,2217"
"11,DC,DISTRICT OF COLUMBIA,75,93,2578"
"40,OK,OKLAHOMA,72,169,2291"
"18,IN,INDIANA,68,134,2879"
"27,MN,MINNESOTA,55,117,2978"
"23,ME,MAINE,53,100,2887"
"22,LA,LOUISIANA,52,101,1329"
"21,KY,KENTUCKY,48,106,1644"
"41,OR,OREGON,41,77,1469"
"05,AR,ARKANSAS,38,88,1312"
"28,MS,MISSISSIPPI,37,78,952"
"33,NH,NEW HAMPSHIRE,37,72,1557"
"20,KS,KANSAS,35,81,1626"
"19,IA,IOWA,34,69,2206"
"50,VT,VERMONT,31,60,933"
"55,WI,WISCONSIN,30,72,1314"
"15,HI,HAWAII,28,70,675"
"35,NM,NEW MEXICO,28,53,785"
"49,UT,UTAH,28,78,891"
"32,NV,NEVADA,27,61,1179"
"02,AK,ALASKA,24,48,658"
"16,ID,IDAHO,22,37,1835"
"56,WY,WYOMING,18,34,467"
"31,NE,NEBRASKA,16,45,577"
"44,RI,RHODE ISLAND,14,17,441"
"30,MT,MONTANA,13,30,352"
"38,ND,NORTH DAKOTA,11,36,237"
"46,SD,SOUTH DAKOTA,6,12,292"
