"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,27-MINNESOTA,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,MN,MN Total Mig - US & For,41011,74824,1520715"
"97,MN,MN Total Mig - US,40109,73260,1498930"
"98,MN,MN Total Mig - Foreign,902,1564,21785"
"27,MN,MN Non-Migrants,1681289,3767836,71312812"
"55,WI,WISCONSIN,5685,10509,191312"
"06,CA,CALIFORNIA,2862,4550,109742"
"38,ND,NORTH DAKOTA,2701,4631,61352"
"48,TX,TEXAS,2309,4954,91029"
"17,IL,ILLINOIS,2128,3743,87557"
"19,IA,IOWA,2046,3967,58033"
"04,AZ,ARIZONA,1927,3344,81553"
"12,FL,FLORIDA,1906,3421,125247"
"08,CO,COLORADO,1775,2945,58741"
"46,SD,SOUTH DAKOTA,1533,2861,54167"
"53,WA,WASHINGTON,1176,1963,36466"
"26,MI,MICHIGAN,1030,2016,37914"
"57,FR,Foreign - Total,902,1564,21785"
"29,MO,MISSOURI,824,1613,31005"
"36,NY,NEW YORK,735,1138,32423"
"39,OH,OHIO,702,1497,32897"
"13,GA,GEORGIA,683,1302,29200"
"37,NC,NORTH CAROLINA,667,1250,25020"
"41,OR,OREGON,652,1154,19459"
"18,IN,INDIANA,599,1234,22002"
"31,NE,NEBRASKA,586,1197,17672"
"51,VA,VIRGINIA,569,988,21984"
"32,NV,NEVADA,547,898,20056"
"42,PA,PENNSYLVANIA,490,937,24093"
"47,TN,TENNESSEE,471,912,17043"
"20,KS,KANSAS,470,993,21629"
"25,MA,MASSACHUSETTS,470,747,21029"
"30,MT,MONTANA,460,826,16210"
"35,NM,NEW MEXICO,341,563,11076"
"24,MD,MARYLAND,324,606,13178"
"34,NJ,NEW JERSEY,278,487,17871"
"02,AK,ALASKA,264,412,8672"
"40,OK,OKLAHOMA,257,540,7832"
"05,AR,ARKANSAS,256,553,8730"
"49,UT,UTAH,246,514,10286"
"21,KY,KENTUCKY,216,468,8407"
"45,SC,SOUTH CAROLINA,207,403,9127"
"16,ID,IDAHO,203,413,6315"
"09,CT,CONNECTICUT,195,368,10678"
"15,HI,HAWAII,184,285,5032"
"22,LA,LOUISIANA,181,338,5488"
"56,WY,WYOMING,181,347,6873"
"01,AL,ALABAMA,153,338,5840"
"28,MS,MISSISSIPPI,142,294,3384"
"11,DC,DISTRICT OF COLUMBIA,121,134,2592"
"33,NH,NEW HAMPSHIRE,92,164,4071"
"23,ME,MAINE,86,137,1782"
"50,VT,VERMONT,59,88,1656"
"44,RI,RHODE ISLAND,49,72,2077"
"54,WV,WEST VIRGINIA,41,89,1811"
"10,DE,DELAWARE,30,57,1319"
