"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,30-MONTANA,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,MT,MT Total Mig - US & For,13988,27203,325423"
"97,MT,MT Total Mig - US,13613,26508,318343"
"98,MT,MT Total Mig - Foreign,375,695,7079"
"30,MT,MT Non-Migrants,294268,667273,9067142"
"53,WA,WASHINGTON,1859,3421,40510"
"06,CA,CALIFORNIA,1120,1984,23794"
"16,ID,IDAHO,913,1924,22482"
"41,OR,OREGON,819,1561,18965"
"08,CO,COLORADO,814,1422,20651"
"04,AZ,ARIZONA,654,1248,16860"
"56,WY,WYOMING,631,1347,15859"
"38,ND,NORTH DAKOTA,550,1123,11075"
"48,TX,TEXAS,509,1060,12481"
"32,NV,NEVADA,471,918,13240"
"27,MN,MINNESOTA,438,849,10328"
"49,UT,UTAH,433,940,9722"
"57,FR,Foreign - Total,375,695,7079"
"02,AK,ALASKA,331,693,9569"
"12,FL,FLORIDA,290,570,7174"
"46,SD,SOUTH DAKOTA,270,558,6140"
"35,NM,NEW MEXICO,213,426,4911"
"17,IL,ILLINOIS,212,357,4444"
"26,MI,MICHIGAN,171,340,3828"
"29,MO,MISSOURI,169,369,3773"
"40,OK,OKLAHOMA,168,329,3652"
"39,OH,OHIO,166,324,4171"
"55,WI,WISCONSIN,160,321,3685"
"31,NE,NEBRASKA,156,342,4614"
"37,NC,NORTH CAROLINA,156,300,3520"
"51,VA,VIRGINIA,152,291,3981"
"36,NY,NEW YORK,140,213,2164"
"20,KS,KANSAS,139,288,2887"
"42,PA,PENNSYLVANIA,122,219,2839"
"19,IA,IOWA,118,248,3044"
"47,TN,TENNESSEE,114,230,2451"
"13,GA,GEORGIA,113,219,2613"
"18,IN,INDIANA,98,243,2001"
"25,MA,MASSACHUSETTS,97,149,1549"
"05,AR,ARKANSAS,85,181,1859"
"24,MD,MARYLAND,81,143,1801"
"22,LA,LOUISIANA,71,162,1707"
"01,AL,ALABAMA,67,144,1787"
"15,HI,HAWAII,66,118,1554"
"21,KY,KENTUCKY,65,158,1492"
"45,SC,SOUTH CAROLINA,61,129,1199"
"28,MS,MISSISSIPPI,59,138,1397"
"09,CT,CONNECTICUT,55,83,1127"
"34,NJ,NEW JERSEY,51,82,964"
"33,NH,NEW HAMPSHIRE,48,85,1143"
"23,ME,MAINE,38,82,913"
"50,VT,VERMONT,33,57,1016"
"11,DC,DISTRICT OF COLUMBIA,28,37,633"
"54,WV,WEST VIRGINIA,20,44,393"
"10,DE,DELAWARE,11,17,131"
"44,RI,RHODE ISLAND,8,22,248"
