"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,32-NEVADA,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,NV,NV Total Mig - US & For,32379,61680,884393"
"97,NV,NV Total Mig - US,31627,60218,859550"
"98,NV,NV Total Mig - Foreign,752,1462,24843"
"32,NV,NV Non-Migrants,545008,1155298,22128552"
"06,CA,CALIFORNIA,8697,15591,215641"
"04,AZ,ARIZONA,2624,5195,71616"
"48,TX,TEXAS,1694,3333,43992"
"53,WA,WASHINGTON,1532,2878,45042"
"49,UT,UTAH,1494,3415,42614"
"41,OR,OREGON,1358,2617,34934"
"08,CO,COLORADO,1314,2576,39889"
"12,FL,FLORIDA,1210,2140,34505"
"16,ID,IDAHO,849,1854,25156"
"17,IL,ILLINOIS,757,1318,20659"
"57,FR,Foreign - Total,752,1462,24843"
"35,NM,NEW MEXICO,597,1238,16437"
"36,NY,NEW YORK,568,890,12764"
"29,MO,MISSOURI,524,1014,15987"
"26,MI,MICHIGAN,519,922,14082"
"39,OH,OHIO,485,895,11287"
"42,PA,PENNSYLVANIA,375,700,10394"
"37,NC,NORTH CAROLINA,367,743,10963"
"13,GA,GEORGIA,361,693,11498"
"30,MT,MONTANA,359,724,9999"
"27,MN,MINNESOTA,356,634,12692"
"40,OK,OKLAHOMA,355,722,8848"
"55,WI,WISCONSIN,322,556,8366"
"51,VA,VIRGINIA,314,648,10268"
"15,HI,HAWAII,313,527,7940"
"18,IN,INDIANA,312,595,8285"
"47,TN,TENNESSEE,311,611,9951"
"56,WY,WYOMING,263,559,7226"
"20,KS,KANSAS,259,553,7554"
"19,IA,IOWA,258,525,8343"
"22,LA,LOUISIANA,238,484,5578"
"05,AR,ARKANSAS,231,502,6543"
"34,NJ,NEW JERSEY,230,400,6157"
"02,AK,ALASKA,224,438,5858"
"31,NE,NEBRASKA,222,472,7221"
"25,MA,MASSACHUSETTS,206,316,6092"
"28,MS,MISSISSIPPI,202,416,5712"
"24,MD,MARYLAND,171,321,5244"
"45,SC,SOUTH CAROLINA,170,348,6863"
"01,AL,ALABAMA,167,342,4888"
"21,KY,KENTUCKY,161,338,4642"
"46,SD,SOUTH DAKOTA,130,248,3525"
"09,CT,CONNECTICUT,109,177,2716"
"38,ND,NORTH DAKOTA,94,194,2617"
"33,NH,NEW HAMPSHIRE,73,124,2201"
"54,WV,WEST VIRGINIA,63,110,1173"
"44,RI,RHODE ISLAND,49,87,1226"
"23,ME,MAINE,41,74,1240"
"11,DC,DISTRICT OF COLUMBIA,37,49,1408"
"50,VT,VERMONT,34,59,643"
"10,DE,DELAWARE,28,53,1067"
