"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,46-SOUTH DAKOTA,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,SD,SD Total Mig - US & For,11370,22753,294490"
"97,SD,SD Total Mig - US,11077,22146,288226"
"98,SD,SD Total Mig - Foreign,293,607,6264"
"46,SD,SD Non-Migrants,257372,596662,8343302"
"27,MN,MINNESOTA,1701,3154,42316"
"19,IA,IOWA,990,1896,23762"
"31,NE,NEBRASKA,961,1928,23262"
"38,ND,NORTH DAKOTA,669,1397,18133"
"08,CO,COLORADO,575,986,12267"
"48,TX,TEXAS,531,1082,12702"
"06,CA,CALIFORNIA,462,884,10589"
"04,AZ,ARIZONA,450,831,14722"
"56,WY,WYOMING,400,847,8763"
"57,FR,Foreign - Total,293,607,6264"
"12,FL,FLORIDA,288,612,10485"
"55,WI,WISCONSIN,268,560,7976"
"53,WA,WASHINGTON,259,516,5796"
"30,MT,MONTANA,250,517,5676"
"17,IL,ILLINOIS,243,485,6975"
"29,MO,MISSOURI,224,517,7373"
"20,KS,KANSAS,219,449,6010"
"32,NV,NEVADA,171,342,6057"
"13,GA,GEORGIA,153,351,4074"
"40,OK,OKLAHOMA,151,353,3282"
"41,OR,OREGON,148,286,3879"
"51,VA,VIRGINIA,140,304,4893"
"35,NM,NEW MEXICO,130,276,5146"
"37,NC,NORTH CAROLINA,129,245,3078"
"26,MI,MICHIGAN,124,263,3503"
"39,OH,OHIO,116,263,2824"
"49,UT,UTAH,115,233,2241"
"16,ID,IDAHO,114,250,3114"
"18,IN,INDIANA,111,235,2853"
"47,TN,TENNESSEE,95,182,2309"
"22,LA,LOUISIANA,90,242,2913"
"36,NY,NEW YORK,83,130,2262"
"42,PA,PENNSYLVANIA,83,180,2783"
"02,AK,ALASKA,77,183,2029"
"05,AR,ARKANSAS,75,176,2363"
"21,KY,KENTUCKY,64,131,1724"
"24,MD,MARYLAND,57,110,1299"
"01,AL,ALABAMA,53,126,1287"
"45,SC,SOUTH CAROLINA,48,110,1328"
"25,MA,MASSACHUSETTS,43,80,1162"
"28,MS,MISSISSIPPI,40,90,767"
"34,NJ,NEW JERSEY,38,77,1015"
"15,HI,HAWAII,37,67,755"
"09,CT,CONNECTICUT,22,30,449"
"23,ME,MAINE,22,54,444"
"11,DC,DISTRICT OF COLUMBIA,17,22,416"
"10,DE,DELAWARE,13,27,361"
"54,WV,WEST VIRGINIA,9,28,265"
"33,NH,NEW HAMPSHIRE,8,12,156"
"44,RI,RHODE ISLAND,6,18,258"
"50,VT,VERMONT,5,9,128"
