"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,49-UTAH,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,UT,UT Total Mig - US & For,23410,53735,720507"
"97,UT,UT Total Mig - US,22840,52460,705824"
"98,UT,UT Total Mig - Foreign,570,1275,14683"
"49,UT,UT Non-Migrants,585449,1574048,23157892"
"06,CA,CALIFORNIA,3399,6841,93253"
"04,AZ,ARIZONA,2034,4792,59489"
"16,ID,IDAHO,1859,4734,47229"
"32,NV,NEVADA,1661,3681,63611"
"08,CO,COLORADO,1417,3193,45509"
"53,WA,WASHINGTON,1328,3018,44093"
"48,TX,TEXAS,1292,3218,47429"
"41,OR,OREGON,976,2161,28322"
"56,WY,WYOMING,627,1487,17763"
"12,FL,FLORIDA,580,1304,17932"
"35,NM,NEW MEXICO,576,1508,12649"
"57,FR,Foreign - Total,570,1275,14683"
"17,IL,ILLINOIS,414,983,14580"
"30,MT,MONTANA,403,935,11385"
"51,VA,VIRGINIA,352,729,15127"
"39,OH,OHIO,341,856,12592"
"29,MO,MISSOURI,338,851,9613"
"36,NY,NEW YORK,326,631,8307"
"13,GA,GEORGIA,317,726,11755"
"40,OK,OKLAHOMA,281,735,9370"
"37,NC,NORTH CAROLINA,272,649,8030"
"42,PA,PENNSYLVANIA,247,579,9436"
"27,MN,MINNESOTA,241,551,8769"
"47,TN,TENNESSEE,237,556,7175"
"26,MI,MICHIGAN,233,534,7223"
"02,AK,ALASKA,225,552,7072"
"25,MA,MASSACHUSETTS,211,397,7308"
"20,KS,KANSAS,207,524,6538"
"18,IN,INDIANA,201,495,6187"
"55,WI,WISCONSIN,197,486,6634"
"31,NE,NEBRASKA,188,476,6136"
"19,IA,IOWA,181,451,4888"
"15,HI,HAWAII,174,350,4376"
"24,MD,MARYLAND,165,376,5240"
"21,KY,KENTUCKY,157,384,4983"
"45,SC,SOUTH CAROLINA,143,359,4494"
"34,NJ,NEW JERSEY,124,271,5056"
"01,AL,ALABAMA,120,301,3758"
"22,LA,LOUISIANA,105,227,2997"
"05,AR,ARKANSAS,103,266,3162"
"46,SD,SOUTH DAKOTA,103,236,2970"
"09,CT,CONNECTICUT,83,187,3000"
"38,ND,NORTH DAKOTA,69,157,1674"
"28,MS,MISSISSIPPI,66,160,1535"
"33,NH,NEW HAMPSHIRE,61,131,1613"
"23,ME,MAINE,57,146,1887"
"54,WV,WEST VIRGINIA,44,96,1045"
"50,VT,VERMONT,35,53,820"
"11,DC,DISTRICT OF COLUMBIA,29,42,643"
"44,RI,RHODE ISLAND,23,48,699"
"10,DE,DELAWARE,18,37,468"
