"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,53-WASHINGTON,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,WA,WA Total Mig - US & For,69599,139696,2098366"
"97,WA,WA Total Mig - US,65975,132183,2004916"
"98,WA,WA Total Mig - Foreign,3624,7513,93450"
"53,WA,WA Non-Migrants,1906008,4183997,79788815"
"06,CA,CALIFORNIA,11260,21259,328653"
"41,OR,OREGON,9911,18542,284467"
"16,ID,IDAHO,3897,8090,114534"
"48,TX,TEXAS,3689,8261,121449"
"57,FR,Foreign - Total,3624,7513,93450"
"04,AZ,ARIZONA,3297,6322,104435"
"08,CO,COLORADO,2232,4389,75167"
"30,MT,MONTANA,2006,4105,55680"
"12,FL,FLORIDA,1991,4024,60206"
"02,AK,ALASKA,1821,3524,51560"
"32,NV,NEVADA,1590,3090,46134"
"49,UT,UTAH,1357,3118,42403"
"17,IL,ILLINOIS,1309,2559,42107"
"36,NY,NEW YORK,1271,2148,35887"
"13,GA,GEORGIA,1213,2732,40052"
"51,VA,VIRGINIA,1179,2672,42710"
"37,NC,NORTH CAROLINA,1174,2517,36728"
"15,HI,HAWAII,1140,2293,33148"
"27,MN,MINNESOTA,1044,2066,35766"
"26,MI,MICHIGAN,999,2053,29360"
"39,OH,OHIO,999,2027,31227"
"29,MO,MISSOURI,820,1801,25012"
"42,PA,PENNSYLVANIA,753,1570,26775"
"40,OK,OKLAHOMA,713,1622,18004"
"47,TN,TENNESSEE,707,1523,21001"
"35,NM,NEW MEXICO,694,1338,19330"
"25,MA,MASSACHUSETTS,674,1070,26395"
"55,WI,WISCONSIN,644,1329,20543"
"20,KS,KANSAS,622,1489,21120"
"18,IN,INDIANA,570,1223,16225"
"24,MD,MARYLAND,567,1142,20351"
"34,NJ,NEW JERSEY,476,882,16224"
"22,LA,LOUISIANA,473,975,11962"
"19,IA,IOWA,439,926,11961"
"21,KY,KENTUCKY,436,989,12688"
"45,SC,SOUTH CAROLINA,402,932,12515"
"01,AL,ALABAMA,396,913,11430"
"31,NE,NEBRASKA,376,831,10289"
"05,AR,ARKANSAS,364,801,8861"
"56,WY,WYOMING,360,777,11062"
"09,CT,CONNECTICUT,336,684,13179"
"38,ND,NORTH DAKOTA,325,645,7360"
"46,SD,SOUTH DAKOTA,287,646,7102"
"28,MS,MISSISSIPPI,253,548,16223"
"33,NH,NEW HAMPSHIRE,199,396,6886"
"23,ME,MAINE,159,305,4036"
"11,DC,DISTRICT OF COLUMBIA,156,208,4578"
"44,RI,RHODE ISLAND,123,261,4258"
"54,WV,WEST VIRGINIA,116,250,3087"
"50,VT,VERMONT,104,201,2925"
"10,DE,DELAWARE,52,115,1858"
