"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,54-WEST VIRGINIA,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,WV,WV Total Mig - US & For,18506,36179,495812"
"97,WV,WV Total Mig - US,18247,35719,491170"
"98,WV,WV Total Mig - Foreign,259,460,4642"
"54,WV,WV Non-Migrants,581837,1319409,18777599"
"39,OH,OHIO,3233,6332,74659"
"51,VA,VIRGINIA,2381,4665,65017"
"37,NC,NORTH CAROLINA,2166,4179,45899"
"12,FL,FLORIDA,1278,2328,37086"
"42,PA,PENNSYLVANIA,1208,2300,37733"
"24,MD,MARYLAND,1170,2190,30693"
"21,KY,KENTUCKY,825,1810,24512"
"45,SC,SOUTH CAROLINA,667,1261,15795"
"47,TN,TENNESSEE,560,1129,16921"
"48,TX,TEXAS,520,1099,17270"
"13,GA,GEORGIA,511,1018,12263"
"18,IN,INDIANA,322,713,9742"
"06,CA,CALIFORNIA,311,522,7747"
"26,MI,MICHIGAN,273,554,7773"
"36,NY,NEW YORK,272,491,8511"
"57,FR,Foreign - Total,259,460,4642"
"17,IL,ILLINOIS,234,496,9290"
"01,AL,ALABAMA,228,524,8249"
"08,CO,COLORADO,152,272,3940"
"34,NJ,NEW JERSEY,147,278,4672"
"29,MO,MISSOURI,140,306,4150"
"04,AZ,ARIZONA,138,272,3851"
"53,WA,WASHINGTON,122,250,3965"
"22,LA,LOUISIANA,118,253,4452"
"25,MA,MASSACHUSETTS,102,159,2583"
"10,DE,DELAWARE,93,186,2565"
"40,OK,OKLAHOMA,90,191,2204"
"05,AR,ARKANSAS,78,183,2503"
"28,MS,MISSISSIPPI,72,149,2783"
"55,WI,WISCONSIN,67,117,1779"
"32,NV,NEVADA,65,116,1838"
"09,CT,CONNECTICUT,64,119,2390"
"27,MN,MINNESOTA,62,119,1499"
"35,NM,NEW MEXICO,56,107,1593"
"20,KS,KANSAS,54,128,1424"
"11,DC,DISTRICT OF COLUMBIA,48,66,1316"
"15,HI,HAWAII,41,75,766"
"19,IA,IOWA,40,86,1160"
"41,OR,OREGON,40,71,1407"
"02,AK,ALASKA,37,82,987"
"23,ME,MAINE,33,76,1074"
"49,UT,UTAH,33,67,731"
"33,NH,NEW HAMPSHIRE,29,56,802"
"56,WY,WYOMING,29,56,1576"
"16,ID,IDAHO,24,36,586"
"31,NE,NEBRASKA,23,42,532"
"30,MT,MONTANA,21,50,612"
"46,SD,SOUTH DAKOTA,19,47,608"
"38,ND,NORTH DAKOTA,18,33,430"
"50,VT,VERMONT,18,33,637"
"44,RI,RHODE ISLAND,15,27,593"
