"1995 - 1996 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,56-WYOMING,,,"
",,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
"TO: ,,,RETURNS,EXEMPTIONS,INCOME"
"96,WY,WY Total Mig - US & For,11313,23010,293940"
"97,WY,WY Total Mig - US,11024,22488,288307"
"98,WY,WY Total Mig - Foreign,289,522,5633"
"56,WY,WY Non-Migrants,165039,387472,5993890"
"08,CO,COLORADO,1606,2982,43210"
"49,UT,UTAH,805,1760,20743"
"30,MT,MONTANA,744,1509,16792"
"06,CA,CALIFORNIA,613,1193,15714"
"48,TX,TEXAS,612,1354,20602"
"04,AZ,ARIZONA,532,1008,14404"
"31,NE,NEBRASKA,475,1032,10951"
"32,NV,NEVADA,448,947,14245"
"46,SD,SOUTH DAKOTA,444,898,9842"
"16,ID,IDAHO,431,989,11595"
"53,WA,WASHINGTON,387,761,11892"
"57,FR,Foreign - Total,289,522,5633"
"41,OR,OREGON,278,565,6293"
"35,NM,NEW MEXICO,265,600,6783"
"12,FL,FLORIDA,246,516,7938"
"40,OK,OKLAHOMA,212,480,5938"
"29,MO,MISSOURI,204,446,5024"
"27,MN,MINNESOTA,200,393,5465"
"17,IL,ILLINOIS,179,341,4882"
"20,KS,KANSAS,179,392,4313"
"38,ND,NORTH DAKOTA,153,352,4227"
"26,MI,MICHIGAN,128,278,2987"
"02,AK,ALASKA,124,261,3754"
"13,GA,GEORGIA,120,214,2324"
"39,OH,OHIO,120,267,3165"
"37,NC,NORTH CAROLINA,117,212,2138"
"42,PA,PENNSYLVANIA,108,200,2573"
"51,VA,VIRGINIA,107,189,2312"
"18,IN,INDIANA,106,199,2341"
"19,IA,IOWA,106,243,2653"
"55,WI,WISCONSIN,87,164,295"
"36,NY,NEW YORK,85,164,1773"
"22,LA,LOUISIANA,82,188,2628"
"47,TN,TENNESSEE,81,168,2908"
"25,MA,MASSACHUSETTS,72,112,1384"
"05,AR,ARKANSAS,70,125,1269"
"01,AL,ALABAMA,62,146,1918"
"45,SC,SOUTH CAROLINA,56,121,1599"
"21,KY,KENTUCKY,54,119,1461"
"24,MD,MARYLAND,49,79,1346"
"28,MS,MISSISSIPPI,45,108,1117"
"15,HI,HAWAII,39,75,936"
"34,NJ,NEW JERSEY,35,67,898"
"23,ME,MAINE,32,59,592"
"33,NH,NEW HAMPSHIRE,27,45,380"
"09,CT,CONNECTICUT,25,42,837"
"50,VT,VERMONT,24,38,517"
"54,WV,WEST VIRGINIA,22,46,639"
"11,DC,DISTRICT OF COLUMBIA,13,16,354"
"44,RI,RHODE ISLAND,8,13,214"
"10,DE,DELAWARE,7,12,145"
