"1996 - 1997 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 01-ALABAMA,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,AL,AL Total Mig - US & For,45732,98227,1422792"
"97,AL,AL Total Mig - US,43743,94329,1382249"
"98,AL,AL Total Mig - Foreign,1989,3898,40543"
"01,AL,AL Non-Migrants,1447841,3315932,51607827"
"13,GA,GEORGIA,7888,17218,220635"
"12,FL,FLORIDA,6170,12784,178244"
"47,TN,TENNESSEE,3142,6454,95840"
"48,TX,TEXAS,2867,6520,93857"
"28,MS,MISSISSIPPI,2637,5565,73652"
"57,FR,Foreign - Total,1989,3898,40543"
"06,CA,CALIFORNIA,1601,3464,49223"
"22,LA,LOUISIANA,1542,3383,53092"
"37,NC,NORTH CAROLINA,1463,3239,46182"
"51,VA,VIRGINIA,1377,3205,54066"
"17,IL,ILLINOIS,1258,2713,45386"
"39,OH,OHIO,1146,2375,37233"
"36,NY,NEW YORK,1065,2117,34573"
"26,MI,MICHIGAN,1046,2202,35547"
"45,SC,SOUTH CAROLINA,940,2032,34235"
"21,KY,KENTUCKY,807,1854,25089"
"18,IN,INDIANA,769,1626,23064"
"42,PA,PENNSYLVANIA,700,1498,29038"
"29,MO,MISSOURI,615,1339,22581"
"08,CO,COLORADO,547,1212,17831"
"24,MD,MARYLAND,498,1061,20149"
"05,AR,ARKANSAS,477,1075,14192"
"40,OK,OKLAHOMA,469,1077,13489"
"53,WA,WASHINGTON,423,968,13342"
"34,NJ,NEW JERSEY,393,831,15327"
"04,AZ,ARIZONA,383,841,11656"
"55,WI,WISCONSIN,291,636,9548"
"20,KS,KANSAS,285,669,9371"
"25,MA,MASSACHUSETTS,283,535,10342"
"15,HI,HAWAII,249,618,8020"
"54,WV,WEST VIRGINIA,208,476,7975"
"35,NM,NEW MEXICO,204,482,6192"
"09,CT,CONNECTICUT,202,387,7030"
"27,MN,MINNESOTA,198,403,10775"
"19,IA,IOWA,184,403,6320"
"02,AK,ALASKA,164,404,5169"
"31,NE,NEBRASKA,140,321,5646"
"32,NV,NEVADA,138,293,4098"
"49,UT,UTAH,136,343,5062"
"41,OR,OREGON,129,248,3205"
"10,DE,DELAWARE,90,177,3516"
"33,NH,NEW HAMPSHIRE,87,189,5088"
"23,ME,MAINE,78,170,2456"
"56,WY,WYOMING,71,155,2078"
"11,DC,DISTRICT OF COLUMBIA,67,109,1815"
"30,MT,MONTANA,58,110,1443"
"16,ID,IDAHO,57,135,1620"
"38,ND,NORTH DAKOTA,56,122,1802"
"44,RI,RHODE ISLAND,49,96,3280"
"46,SD,SOUTH DAKOTA,48,107,1256"
"50,VT,VERMONT,48,88,1620"
