"1996 - 1997 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: MICHIGAN,26-MICHIGAN,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,MI,MI Total Mig - US & For,63522,124481,2288960"
"97,MI,MI Total Mig - US,58767,117616,2194907"
"98,MI,MI Total Mig - Foreign,4755,6865,94053"
"26,MI,MI Non-Migrants,3426692,7590253,152808417"
"39,OH,OHIO,6255,12568,271716"
"12,FL,FLORIDA,5686,10329,184417"
"17,IL,ILLINOIS,4846,9569,226682"
"57,FR,Foreign - Total,4755,6865,94053"
"18,IN,INDIANA,4525,9257,171729"
"06,CA,CALIFORNIA,4252,8457,153134"
"48,TX,TEXAS,3291,7268,121979"
"36,NY,NEW YORK,2088,4060,82409"
"55,WI,WISCONSIN,2071,4137,78210"
"37,NC,NORTH CAROLINA,1670,3422,52126"
"51,VA,VIRGINIA,1625,3405,61184"
"13,GA,GEORGIA,1619,3252,55205"
"42,PA,PENNSYLVANIA,1614,3308,76273"
"47,TN,TENNESSEE,1576,3253,49515"
"04,AZ,ARIZONA,1403,2607,41285"
"08,CO,COLORADO,1163,2202,35841"
"27,MN,MINNESOTA,1004,1917,36437"
"29,MO,MISSOURI,985,2071,44584"
"21,KY,KENTUCKY,982,2065,33127"
"53,WA,WASHINGTON,846,1682,25771"
"24,MD,MARYLAND,834,1650,37325"
"34,NJ,NEW JERSEY,800,1625,42603"
"25,MA,MASSACHUSETTS,763,1516,33836"
"01,AL,ALABAMA,699,1421,18262"
"45,SC,SOUTH CAROLINA,641,1312,21865"
"19,IA,IOWA,547,1152,18674"
"22,LA,LOUISIANA,508,1039,12820"
"05,AR,ARKANSAS,496,1027,11051"
"32,NV,NEVADA,494,843,11987"
"20,KS,KANSAS,493,1098,19996"
"40,OK,OKLAHOMA,491,1062,15942"
"09,CT,CONNECTICUT,473,946,26720"
"28,MS,MISSISSIPPI,396,803,7724"
"15,HI,HAWAII,355,696,9640"
"35,NM,NEW MEXICO,341,597,8511"
"41,OR,OREGON,332,625,9070"
"02,AK,ALASKA,284,571,8267"
"49,UT,UTAH,284,610,8649"
"31,NE,NEBRASKA,267,607,10092"
"54,WV,WEST VIRGINIA,264,520,7936"
"30,MT,MONTANA,207,380,4206"
"33,NH,NEW HAMPSHIRE,170,376,8583"
"23,ME,MAINE,156,311,6206"
"16,ID,IDAHO,142,283,3747"
"11,DC,DISTRICT OF COLUMBIA,138,185,5091"
"56,WY,WYOMING,136,328,3249"
"38,ND,NORTH DAKOTA,135,320,3776"
"46,SD,SOUTH DAKOTA,132,299,4401"
"10,DE,DELAWARE,112,250,6365"
"44,RI,RHODE ISLAND,106,202,4456"
"50,VT,VERMONT,70,133,2232"
