"1996 - 1997 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: NEW JERSEY,34-NEW JERSEY,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,NJ,NJ Total Mig - US & For,76004,142434,3785795"
"97,NJ,NJ Total Mig - US,71957,136199,3665025"
"98,NJ,NJ Total Mig - Foreign,4047,6235,120770"
"34,NJ,NJ Non-Migrants,2936001,6365945,154967191"
"36,NY,NEW YORK,26213,51659,1502172"
"42,PA,PENNSYLVANIA,12147,22134,517009"
"12,FL,FLORIDA,5279,9324,246029"
"57,FR,Foreign - Total,4047,6235,120770"
"06,CA,CALIFORNIA,3208,6143,170435"
"51,VA,VIRGINIA,2214,4180,99724"
"25,MA,MASSACHUSETTS,1987,3329,101790"
"24,MD,MARYLAND,1877,3483,98273"
"48,TX,TEXAS,1717,3510,93629"
"37,NC,NORTH CAROLINA,1693,3228,66120"
"09,CT,CONNECTICUT,1653,3073,118617"
"17,IL,ILLINOIS,1383,2791,96535"
"13,GA,GEORGIA,1311,2415,55780"
"39,OH,OHIO,1056,1998,65935"
"26,MI,MICHIGAN,709,1320,36710"
"10,DE,DELAWARE,697,1231,27872"
"45,SC,SOUTH CAROLINA,662,1263,21540"
"04,AZ,ARIZONA,640,1171,24891"
"08,CO,COLORADO,619,1106,28922"
"53,WA,WASHINGTON,466,852,19506"
"18,IN,INDIANA,435,857,19400"
"47,TN,TENNESSEE,425,806,18374"
"29,MO,MISSOURI,391,725,22681"
"27,MN,MINNESOTA,329,609,19102"
"11,DC,DISTRICT OF COLUMBIA,301,421,13156"
"22,LA,LOUISIANA,300,552,10939"
"32,NV,NEVADA,295,499,12156"
"33,NH,NEW HAMPSHIRE,293,517,12554"
"55,WI,WISCONSIN,273,519,16504"
"44,RI,RHODE ISLAND,267,484,14035"
"01,AL,ALABAMA,266,543,8948"
"21,KY,KENTUCKY,266,531,10807"
"40,OK,OKLAHOMA,256,505,7282"
"23,ME,MAINE,218,400,6708"
"20,KS,KANSAS,213,471,15064"
"54,WV,WEST VIRGINIA,188,331,5697"
"50,VT,VERMONT,187,284,5146"
"35,NM,NEW MEXICO,180,354,7037"
"41,OR,OREGON,179,337,7970"
"15,HI,HAWAII,173,307,4282"
"19,IA,IOWA,165,289,6354"
"28,MS,MISSISSIPPI,147,285,4246"
"49,UT,UTAH,140,299,4940"
"31,NE,NEBRASKA,120,261,6227"
"05,AR,ARKANSAS,106,211,3440"
"02,AK,ALASKA,81,192,2217"
"30,MT,MONTANA,65,104,3394"
"16,ID,IDAHO,50,77,1640"
"56,WY,WYOMING,47,97,1536"
"38,ND,NORTH DAKOTA,36,63,842"
"46,SD,SOUTH DAKOTA,34,59,860"
