"1996 - 1997 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 40-OKLAHOMA,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,OK,OK Total Mig - US & For,42232,91479,1181322"
"97,OK,OK Total Mig - US,40117,87378,1142334"
"98,OK,OK Total Mig - Foreign,2115,4101,38988"
"40,OK,OK Non-Migrants,1053131,2406003,36010079"
"48,TX,TEXAS,9261,20573,289500"
"06,CA,CALIFORNIA,3520,7686,95713"
"05,AR,ARKANSAS,2854,6477,63375"
"20,KS,KANSAS,2820,6194,80418"
"57,FR,Foreign - Total,2115,4101,38988"
"29,MO,MISSOURI,2029,4250,52702"
"08,CO,COLORADO,1482,3149,41427"
"12,FL,FLORIDA,1391,2802,37608"
"17,IL,ILLINOIS,1021,2179,33929"
"04,AZ,ARIZONA,993,2114,26385"
"35,NM,NEW MEXICO,823,1849,21245"
"51,VA,VIRGINIA,802,1788,29646"
"22,LA,LOUISIANA,788,1831,24632"
"13,GA,GEORGIA,767,1715,21334"
"37,NC,NORTH CAROLINA,765,1662,20687"
"39,OH,OHIO,704,1454,20425"
"36,NY,NEW YORK,665,1319,17915"
"53,WA,WASHINGTON,661,1476,16385"
"47,TN,TENNESSEE,645,1387,17762"
"18,IN,INDIANA,529,1153,16310"
"19,IA,IOWA,523,1118,18143"
"26,MI,MICHIGAN,497,990,13598"
"42,PA,PENNSYLVANIA,452,893,12860"
"28,MS,MISSISSIPPI,440,931,10406"
"32,NV,NEVADA,423,884,11561"
"31,NE,NEBRASKA,420,884,11352"
"01,AL,ALABAMA,401,888,10863"
"45,SC,SOUTH CAROLINA,397,904,11425"
"21,KY,KENTUCKY,328,722,7888"
"24,MD,MARYLAND,321,698,10544"
"41,OR,OREGON,320,677,7340"
"27,MN,MINNESOTA,308,649,8191"
"55,WI,WISCONSIN,291,593,10273"
"15,HI,HAWAII,260,600,7197"
"49,UT,UTAH,249,621,7718"
"02,AK,ALASKA,243,612,8284"
"34,NJ,NEW JERSEY,233,469,8311"
"56,WY,WYOMING,191,465,4789"
"25,MA,MASSACHUSETTS,185,342,6538"
"30,MT,MONTANA,165,363,3560"
"16,ID,IDAHO,149,326,2983"
"46,SD,SOUTH DAKOTA,148,331,3529"
"09,CT,CONNECTICUT,140,303,3877"
"38,ND,NORTH DAKOTA,115,272,3398"
"54,WV,WEST VIRGINIA,110,209,2402"
"23,ME,MAINE,71,154,1397"
"33,NH,NEW HAMPSHIRE,57,95,1981"
"10,DE,DELAWARE,50,114,1424"
"44,RI,RHODE ISLAND,50,104,1389"
"11,DC,DISTRICT OF COLUMBIA,33,63,1137"
"50,VT,VERMONT,27,46,577"
