"1996 - 1997 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 50-VERMONT,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,VT,VT Total Mig - US & For,9177,15692,347533"
"97,VT,VT Total Mig - US,8876,15270,343273"
"98,VT,VT Total Mig - Foreign,301,422,4260"
"50,VT,VT Non-Migrants,218079,472366,8095961"
"36,NY,NEW YORK,1443,2463,53982"
"25,MA,MASSACHUSETTS,1240,2022,45407"
"33,NH,NEW HAMPSHIRE,1212,2206,33539"
"09,CT,CONNECTICUT,633,1051,62120"
"12,FL,FLORIDA,550,915,15406"
"34,NJ,NEW JERSEY,363,595,17027"
"06,CA,CALIFORNIA,353,616,15359"
"42,PA,PENNSYLVANIA,305,506,11541"
"57,FR,Foreign - Total,301,422,4260"
"23,ME,MAINE,276,409,6579"
"08,CO,COLORADO,202,285,4794"
"51,VA,VIRGINIA,185,341,7053"
"37,NC,NORTH CAROLINA,170,301,4346"
"48,TX,TEXAS,162,373,6728"
"24,MD,MARYLAND,139,225,4922"
"04,AZ,ARIZONA,116,202,4600"
"39,OH,OHIO,113,188,3323"
"44,RI,RHODE ISLAND,105,189,3923"
"17,IL,ILLINOIS,103,171,4594"
"53,WA,WASHINGTON,96,174,3447"
"13,GA,GEORGIA,92,166,3256"
"26,MI,MICHIGAN,84,161,3949"
"45,SC,SOUTH CAROLINA,77,148,2305"
"55,WI,WISCONSIN,65,119,1656"
"41,OR,OREGON,62,108,1673"
"35,NM,NEW MEXICO,57,106,1482"
"27,MN,MINNESOTA,52,88,1613"
"18,IN,INDIANA,46,93,1557"
"47,TN,TENNESSEE,45,94,1187"
"11,DC,DISTRICT OF COLUMBIA,43,65,1803"
"49,UT,UTAH,39,61,1155"
"29,MO,MISSOURI,36,75,1030"
"21,KY,KENTUCKY,35,68,1216"
"15,HI,HAWAII,34,53,829"
"32,NV,NEVADA,33,54,878"
"30,MT,MONTANA,31,57,618"
"02,AK,ALASKA,29,59,1056"
"16,ID,IDAHO,27,43,577"
"22,LA,LOUISIANA,27,51,1400"
"10,DE,DELAWARE,26,46,653"
"01,AL,ALABAMA,24,44,756"
"56,WY,WYOMING,24,37,548"
"54,WV,WEST VIRGINIA,22,43,698"
"19,IA,IOWA,20,37,537"
"31,NE,NEBRASKA,17,33,487"
"28,MS,MISSISSIPPI,14,38,265"
"40,OK,OKLAHOMA,14,20,235"
"20,KS,KANSAS,11,28,621"
"38,ND,NORTH DAKOTA,9,14,235"
"05,AR,ARKANSAS,8,18,212"
"46,SD,SOUTH DAKOTA,7,11,93"
