"1996 - 1997 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 54-WEST VIRGINIA,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,WV,WV Total Mig - US & For,17590,35633,492154"
"97,WV,WV Total Mig - US,16975,34779,485511"
"98,WV,WV Total Mig - Foreign,615,854,6642"
"54,WV,WV Non-Migrants,588496,1324837,19527880"
"39,OH,OHIO,2840,5714,66783"
"51,VA,VIRGINIA,2397,4927,68629"
"24,MD,MARYLAND,1925,3978,64813"
"42,PA,PENNSYLVANIA,1410,2726,42156"
"37,NC,NORTH CAROLINA,1402,2919,28770"
"12,FL,FLORIDA,1028,2006,25361"
"21,KY,KENTUCKY,656,1439,20860"
"57,FR,Foreign - Total,615,854,6642"
"48,TX,TEXAS,484,1065,19603"
"06,CA,CALIFORNIA,407,831,12128"
"13,GA,GEORGIA,394,799,11171"
"45,SC,SOUTH CAROLINA,389,822,8792"
"36,NY,NEW YORK,369,719,12338"
"47,TN,TENNESSEE,335,714,9246"
"26,MI,MICHIGAN,250,535,7844"
"34,NJ,NEW JERSEY,244,469,8550"
"17,IL,ILLINOIS,240,524,7949"
"18,IN,INDIANA,227,477,6889"
"01,AL,ALABAMA,156,365,5483"
"08,CO,COLORADO,143,322,4309"
"04,AZ,ARIZONA,114,223,3268"
"53,WA,WASHINGTON,111,215,2695"
"29,MO,MISSOURI,99,195,2628"
"55,WI,WISCONSIN,94,201,3131"
"09,CT,CONNECTICUT,91,183,2992"
"25,MA,MASSACHUSETTS,89,170,6403"
"22,LA,LOUISIANA,86,206,3097"
"40,OK,OKLAHOMA,85,193,2088"
"10,DE,DELAWARE,84,177,3659"
"28,MS,MISSISSIPPI,84,151,2236"
"11,DC,DISTRICT OF COLUMBIA,75,123,3953"
"15,HI,HAWAII,64,120,1370"
"20,KS,KANSAS,62,139,1361"
"32,NV,NEVADA,53,107,1718"
"41,OR,OREGON,52,86,1154"
"05,AR,ARKANSAS,47,113,1190"
"35,NM,NEW MEXICO,43,74,1053"
"02,AK,ALASKA,41,84,921"
"19,IA,IOWA,39,70,1282"
"27,MN,MINNESOTA,33,61,905"
"49,UT,UTAH,32,72,971"
"23,ME,MAINE,28,58,722"
"31,NE,NEBRASKA,27,64,833"
"33,NH,NEW HAMPSHIRE,26,50,800"
"56,WY,WYOMING,26,66,828"
"16,ID,IDAHO,18,38,416"
"30,MT,MONTANA,18,46,455"
"46,SD,SOUTH DAKOTA,17,46,425"
"44,RI,RHODE ISLAND,15,35,615"
"50,VT,VERMONT,14,29,479"
"38,ND,NORTH DAKOTA,12,33,189"
