"1996 - 1997 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,17-ILLINOIS,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,IL,IL Total Mig - US & For,122718,236286,5124229"
"97,IL,IL Total Mig - US,119183,230076,5018441"
"98,IL,IL Total Mig - Foreign,3535,6210,105789"
"17,IL,IL Non-Migrants,4275987,9465447,198272123"
"6,CA,CALIFORNIA,9864,16661,455244"
"12,FL,FLORIDA,9686,18112,437945"
"18,IN,INDIANA,9459,19578,343792"
"55,WI,WISCONSIN,8973,17695,349541"
"29,MO,MISSOURI,7944,14885,254237"
"48,TX,TEXAS,7440,15796,341029"
"4,AZ,ARIZONA,5515,10014,226818"
"26,MI,MICHIGAN,4846,9569,226682"
"19,IA,IOWA,3889,7382,121768"
"39,OH,OHIO,3604,7318,177429"
"13,GA,GEORGIA,3580,7365,150912"
"57,FR,Foreign - Total,3535,6210,105789"
"8,CO,COLORADO,3461,6008,146897"
"47,TN,TENNESSEE,3018,6227,105130"
"27,MN,MINNESOTA,3009,6058,135120"
"36,NY,NEW YORK,3002,4611,152496"
"37,NC,NORTH CAROLINA,2588,5097,114136"
"51,VA,VIRGINIA,2457,4840,104126"
"32,NV,NEVADA,2049,3786,90410"
"21,KY,KENTUCKY,2029,4235,72623"
"53,WA,WASHINGTON,1938,3466,76722"
"42,PA,PENNSYLVANIA,1673,3432,94984"
"5,AR,ARKANSAS,1506,3113,48456"
"34,NJ,NEW JERSEY,1383,2791,96535"
"25,MA,MASSACHUSETTS,1376,2313,87256"
"28,MS,MISSISSIPPI,1270,2709,29795"
"1,AL,ALABAMA,1258,2713,45386"
"20,KS,KANSAS,1222,2647,54193"
"24,MD,MARYLAND,1162,2218,56631"
"40,OK,OKLAHOMA,1021,2179,33929"
"45,SC,SOUTH CAROLINA,1009,2094,44672"
"41,OR,OREGON,994,1751,38337"
"9,CT,CONNECTICUT,856,1728,74052"
"22,LA,LOUISIANA,804,1577,24892"
"35,NM,NEW MEXICO,781,1419,28899"
"31,NE,NEBRASKA,699,1561,28917"
"49,UT,UTAH,562,1230,26532"
"15,HI,HAWAII,448,768,12156"
"11,DC,DISTRICT OF COLUMBIA,432,535,16283"
"30,MT,MONTANA,276,468,13425"
"16,ID,IDAHO,242,485,8327"
"54,WV,WEST VIRGINIA,240,524,7949"
"46,SD,SOUTH DAKOTA,237,496,8935"
"2,AK,ALASKA,235,428,6354"
"33,NH,NEW HAMPSHIRE,195,395,9453"
"23,ME,MAINE,194,354,9618"
"38,ND,NORTH DAKOTA,179,395,5972"
"56,WY,WYOMING,173,301,5401"
"44,RI,RHODE ISLAND,153,266,5893"
"10,DE,DELAWARE,149,312,7557"
"50,VT,VERMONT,103,171,4594"
