"1996 - 1997 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,29-MISSOURI,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,MO,MO Total Mig - US & For,58367,114533,2063621"
"97,MO,MO Total Mig - US,56961,111908,2031202"
"98,MO,MO Total Mig - Foreign,1406,2625,32420"
"29,MO,MO Non-Migrants,1897113,4227869,74471567"
"20,KS,KANSAS,8284,15346,266401"
"17,IL,ILLINOIS,6403,12268,222739"
"48,TX,TEXAS,4928,10079,199293"
"6,CA,CALIFORNIA,3211,5579,99767"
"12,FL,FLORIDA,3099,5842,138139"
"5,AR,ARKANSAS,2629,5580,70080"
"40,OK,OKLAHOMA,2029,4250,52702"
"8,CO,COLORADO,1834,3443,66887"
"19,IA,IOWA,1594,3330,47475"
"4,AZ,ARIZONA,1576,3007,55681"
"47,TN,TENNESSEE,1565,3208,52267"
"13,GA,GEORGIA,1452,3079,57660"
"57,FR,Foreign - Total,1406,2625,32420"
"18,IN,INDIANA,1225,2566,42647"
"39,OH,OHIO,1160,2375,47904"
"37,NC,NORTH CAROLINA,1108,2210,38427"
"51,VA,VIRGINIA,992,1968,36016"
"26,MI,MICHIGAN,985,2071,44584"
"31,NE,NEBRASKA,896,1877,27053"
"21,KY,KENTUCKY,869,1834,28103"
"53,WA,WASHINGTON,838,1649,25350"
"27,MN,MINNESOTA,832,1792,35100"
"36,NY,NEW YORK,810,1398,28176"
"55,WI,WISCONSIN,671,1367,23506"
"32,NV,NEVADA,625,1144,22419"
"22,LA,LOUISIANA,620,1291,17191"
"42,PA,PENNSYLVANIA,618,1304,29335"
"1,AL,ALABAMA,615,1339,22581"
"28,MS,MISSISSIPPI,589,1212,15833"
"24,MD,MARYLAND,544,1035,53609"
"41,OR,OREGON,482,923,14791"
"45,SC,SOUTH CAROLINA,449,954,15985"
"25,MA,MASSACHUSETTS,413,705,18059"
"35,NM,NEW MEXICO,397,746,10595"
"34,NJ,NEW JERSEY,391,725,22681"
"49,UT,UTAH,314,671,9234"
"9,CT,CONNECTICUT,236,463,19817"
"15,HI,HAWAII,219,447,9313"
"46,SD,SOUTH DAKOTA,190,358,6213"
"2,AK,ALASKA,171,360,4464"
"16,ID,IDAHO,155,317,3862"
"56,WY,WYOMING,150,311,4485"
"30,MT,MONTANA,135,280,3113"
"11,DC,DISTRICT OF COLUMBIA,118,148,3322"
"33,NH,NEW HAMPSHIRE,103,208,4119"
"54,WV,WEST VIRGINIA,99,195,2628"
"23,ME,MAINE,92,191,2729"
"38,ND,NORTH DAKOTA,92,185,2672"
"44,RI,RHODE ISLAND,60,92,1947"
"10,DE,DELAWARE,58,111,3215"
"50,VT,VERMONT,36,75,1030"
