"1996 - 1997 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,36-NEW YORK,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,NY,NY Total Mig - US & For,190064,350411,8281828"
"97,NY,NY Total Mig - US,182821,337516,7976767"
"98,NY,NY Total Mig - Foreign,7243,12895,305061"
"36,NY,NY Non-Migrants,6214144,13243260,286697657"
"12,FL,FLORIDA,32912,61722,1341314"
"34,NJ,NEW JERSEY,26213,51659,1502172"
"6,CA,CALIFORNIA,12718,19159,597510"
"37,NC,NORTH CAROLINA,11211,21447,366683"
"42,PA,PENNSYLVANIA,10337,20367,389506"
"9,CT,CONNECTICUT,8560,15849,656800"
"25,MA,MASSACHUSETTS,8384,12955,366314"
"51,VA,VIRGINIA,8119,15445,300222"
"57,FR,Foreign - Total,7243,12895,305061"
"13,GA,GEORGIA,7019,13748,235691"
"48,TX,TEXAS,5813,11318,250890"
"24,MD,MARYLAND,4597,8095,164379"
"45,SC,SOUTH CAROLINA,4078,8048,134296"
"4,AZ,ARIZONA,3892,6979,147887"
"39,OH,OHIO,3560,6746,142627"
"17,IL,ILLINOIS,3175,5447,182065"
"8,CO,COLORADO,2902,4624,115227"
"32,NV,NEVADA,2248,3932,73484"
"26,MI,MICHIGAN,2088,4060,82409"
"53,WA,WASHINGTON,2050,3501,69521"
"47,TN,TENNESSEE,2046,4111,70641"
"33,NH,NEW HAMPSHIRE,1456,2800,78346"
"50,VT,VERMONT,1443,2463,53982"
"11,DC,DISTRICT OF COLUMBIA,1276,1549,49565"
"18,IN,INDIANA,1245,2539,49918"
"1,AL,ALABAMA,1065,2117,34573"
"29,MO,MISSOURI,1044,2043,36963"
"21,KY,KENTUCKY,1001,2093,40542"
"27,MN,MINNESOTA,979,1960,41758"
"41,OR,OREGON,974,1503,32481"
"44,RI,RHODE ISLAND,963,1658,33695"
"23,ME,MAINE,959,1728,42030"
"10,DE,DELAWARE,888,1614,35931"
"35,NM,NEW MEXICO,837,1361,28521"
"55,WI,WISCONSIN,792,1539,33357"
"22,LA,LOUISIANA,755,1434,20466"
"40,OK,OKLAHOMA,665,1319,17915"
"15,HI,HAWAII,635,1167,18264"
"20,KS,KANSAS,579,1291,21942"
"49,UT,UTAH,531,948,28895"
"28,MS,MISSISSIPPI,397,790,10836"
"54,WV,WEST VIRGINIA,369,719,12338"
"2,AK,ALASKA,350,604,7797"
"19,IA,IOWA,350,648,11649"
"5,AR,ARKANSAS,333,613,10103"
"31,NE,NEBRASKA,244,468,8111"
"30,MT,MONTANA,228,366,6060"
"16,ID,IDAHO,191,325,11625"
"56,WY,WYOMING,133,241,3299"
"46,SD,SOUTH DAKOTA,116,200,3499"
"38,ND,NORTH DAKOTA,101,204,2670"
