"1996 - 1997 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,41-OREGON,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,OR,OR Total Mig - US & For,40873,77205,1322322"
"97,OR,OR Total Mig - US,39823,75413,1296124"
"98,OR,OR Total Mig - Foreign,1050,1792,26197"
"41,OR,OR Non-Migrants,1090729,2391608,44606364"
"53,WA,WASHINGTON,11021,21282,431421"
"6,CA,CALIFORNIA,8524,15044,256012"
"16,ID,IDAHO,2120,4617,61545"
"4,AZ,ARIZONA,2052,3898,76428"
"48,TX,TEXAS,1383,2783,42632"
"32,NV,NEVADA,1304,2505,40019"
"8,CO,COLORADO,1228,2201,38498"
"57,FR,Foreign - Total,1050,1792,26197"
"12,FL,FLORIDA,889,1579,23832"
"2,AK,ALASKA,787,1495,18833"
"49,UT,UTAH,744,1532,19575"
"30,MT,MONTANA,697,1414,16350"
"36,NY,NEW YORK,539,809,15929"
"17,IL,ILLINOIS,517,1027,16355"
"15,HI,HAWAII,429,701,10390"
"27,MN,MINNESOTA,410,809,14374"
"37,NC,NORTH CAROLINA,403,776,12495"
"25,MA,MASSACHUSETTS,386,596,13859"
"35,NM,NEW MEXICO,377,664,10027"
"13,GA,GEORGIA,376,717,14774"
"29,MO,MISSOURI,367,778,10191"
"39,OH,OHIO,358,700,14211"
"51,VA,VIRGINIA,357,632,10462"
"26,MI,MICHIGAN,332,625,9070"
"40,OK,OKLAHOMA,320,677,7340"
"42,PA,PENNSYLVANIA,300,521,9503"
"55,WI,WISCONSIN,275,566,8644"
"47,TN,TENNESSEE,269,541,7196"
"20,KS,KANSAS,264,515,6485"
"18,IN,INDIANA,232,468,6482"
"19,IA,IOWA,219,473,6053"
"5,AR,ARKANSAS,208,450,3838"
"24,MD,MARYLAND,192,350,5790"
"56,WY,WYOMING,188,347,4788"
"34,NJ,NEW JERSEY,179,337,7970"
"22,LA,LOUISIANA,161,286,3601"
"21,KY,KENTUCKY,159,346,4085"
"31,NE,NEBRASKA,157,354,4049"
"9,CT,CONNECTICUT,137,196,4407"
"45,SC,SOUTH CAROLINA,133,265,4859"
"1,AL,ALABAMA,129,248,3205"
"46,SD,SOUTH DAKOTA,97,212,2655"
"38,ND,NORTH DAKOTA,94,203,2172"
"28,MS,MISSISSIPPI,91,180,3703"
"11,DC,DISTRICT OF COLUMBIA,84,103,1968"
"33,NH,NEW HAMPSHIRE,78,132,2231"
"23,ME,MAINE,76,149,2808"
"50,VT,VERMONT,62,108,1673"
"54,WV,WEST VIRGINIA,52,86,1154"
"44,RI,RHODE ISLAND,45,79,1494"
"10,DE,DELAWARE,22,37,687"
