"1996 - 1997 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,55-WISCONSIN,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,WI,WI Total Mig - US & For,45162,82626,1645728"
"97,WI,WI Total Mig - US,44173,80927,1622258"
"98,WI,WI Total Mig - Foreign,989,1699,23470"
"55,WI,WI Non-Migrants,1933788,4293350,81575873"
"17,IL,ILLINOIS,6493,11462,226960"
"27,MN,MINNESOTA,6462,10972,198987"
"12,FL,FLORIDA,3169,5752,162791"
"6,CA,CALIFORNIA,2657,4224,84728"
"48,TX,TEXAS,2090,4219,75295"
"26,MI,MICHIGAN,2071,4137,78210"
"4,AZ,ARIZONA,2023,3480,78278"
"8,CO,COLORADO,1520,2460,46785"
"19,IA,IOWA,1282,2538,41135"
"18,IN,INDIANA,1070,2251,41218"
"39,OH,OHIO,1013,2007,44349"
"57,FR,Foreign - Total,989,1699,23470"
"13,GA,GEORGIA,949,1901,38008"
"29,MO,MISSOURI,917,1932,35181"
"37,NC,NORTH CAROLINA,914,1753,45661"
"53,WA,WASHINGTON,877,1552,27909"
"47,TN,TENNESSEE,810,1708,26867"
"36,NY,NEW YORK,763,1196,24019"
"51,VA,VIRGINIA,682,1323,26094"
"32,NV,NEVADA,665,1132,35057"
"42,PA,PENNSYLVANIA,526,1117,25636"
"41,OR,OREGON,514,866,16268"
"25,MA,MASSACHUSETTS,475,757,17794"
"21,KY,KENTUCKY,460,1009,20253"
"5,AR,ARKANSAS,445,952,13731"
"20,KS,KANSAS,385,816,14170"
"45,SC,SOUTH CAROLINA,385,783,17865"
"28,MS,MISSISSIPPI,364,765,7586"
"35,NM,NEW MEXICO,325,525,9450"
"24,MD,MARYLAND,311,495,10748"
"1,AL,ALABAMA,291,636,9548"
"40,OK,OKLAHOMA,291,593,10273"
"31,NE,NEBRASKA,274,576,10410"
"34,NJ,NEW JERSEY,273,519,16504"
"49,UT,UTAH,253,508,8084"
"22,LA,LOUISIANA,229,408,6515"
"46,SD,SOUTH DAKOTA,224,487,7440"
"30,MT,MONTANA,213,379,5756"
"9,CT,CONNECTICUT,193,374,10142"
"38,ND,NORTH DAKOTA,175,340,5347"
"2,AK,ALASKA,167,288,4644"
"16,ID,IDAHO,167,330,5580"
"15,HI,HAWAII,136,203,3467"
"11,DC,DISTRICT OF COLUMBIA,115,137,2732"
"56,WY,WYOMING,114,218,8182"
"33,NH,NEW HAMPSHIRE,98,200,5366"
"54,WV,WEST VIRGINIA,94,201,3131"
"23,ME,MAINE,88,156,2853"
"50,VT,VERMONT,65,119,1656"
"44,RI,RHODE ISLAND,54,93,1603"
"10,DE,DELAWARE,42,78,1988"
