"1997 - 1998 State To State Migration Flows - INFLOW","","","","",""
"(Aggregate Money Amounts Are In Thousands)","","","","",""
"","","","","",""
"TO: ","17-ILLINOIS","","","","AGGREGATE"
"","","","","","ADJUSTED"
"","","","NUMBER OF","NUMBER OF","GROSS"
"","","","RETURNS","EXEMPTIONS","INCOME"
"FROM:","","","","",""
"96","IL","IL Total Mig - US & For","98765.0","181652.0","4070035.0"
"97","IL","IL Total Mig - US","92600.0","172687.0","3944832.0"
"98","IL","IL Total Mig - Foreign","6165.0","8965.0","125204.0"
"17","IL","IL Non-Migrants","4318422.0","9524542.0","211768638.0"
"18","IN","INDIANA","7369.0","13210.0","259069.0"
"06","CA","CALIFORNIA","7266.0","14199.0","332508.0"
"55","WI","WISCONSIN","6673.0","11794.0","284310.0"
"29","MO","MISSOURI","6467.0","12101.0","239175.0"
"57","FR","Foreign","6165.0","8965.0","125204.0"
"12","FL","FLORIDA","5519.0","9944.0","212288.0"
"48","TX","TEXAS","5454.0","11267.0","240855.0"
"26","MI","MICHIGAN","5235.0","8676.0","222811.0"
"19","IA","IOWA","4226.0","7602.0","144456.0"
"39","OH","OHIO","4187.0","7448.0","202814.0"
"36","NY","NEW YORK","3182.0","5404.0","190132.0"
"27","MN","MINNESOTA","2385.0","4283.0","112314.0"
"13","GA","GEORGIA","2287.0","4527.0","103462.0"
"51","VA","VIRGINIA","2211.0","4416.0","97519.0"
"42","PA","PENNSYLVANIA","2174.0","4149.0","121084.0"
"04","AZ","ARIZONA","2147.0","3861.0","74077.0"
"47","TN","TENNESSEE","1963.0","3938.0","75144.0"
"08","CO","COLORADO","1898.0","3325.0","71599.0"
"37","NC","NORTH CAROLINA","1772.0","3484.0","74706.0"
"21","KY","KENTUCKY","1536.0","3076.0","52371.0"
"34","NJ","NEW JERSEY","1516.0","2996.0","117854.0"
"25","MA","MASSACHUSETTS","1318.0","2158.0","78825.0"
"53","WA","WASHINGTON","1315.0","2556.0","49468.0"
"20","KS","KANSAS","1155.0","2369.0","50377.0"
"24","MD","MARYLAND","1134.0","2154.0","61146.0"
"05","AR","ARKANSAS","1016.0","2103.0","26957.0"
"40","OK","OKLAHOMA","961.0","2015.0","45299.0"
"28","MS","MISSISSIPPI","939.0","1923.0","21025.0"
"09","CT","CONNECTICUT","865.0","1606.0","74818.0"
"01","AL","ALABAMA","835.0","1723.0","28773.0"
"22","LA","LOUISIANA","821.0","1612.0","29229.0"
"32","NV","NEVADA","769.0","1388.0","25076.0"
"31","NE","NEBRASKA","752.0","1457.0","28565.0"
"45","SC","SOUTH CAROLINA","736.0","1447.0","29857.0"
"41","OR","OREGON","523.0","924.0","18120.0"
"35","NM","NEW MEXICO","507.0","913.0","16334.0"
"49","UT","UTAH","445.0","1023.0","18374.0"
"15","HI","HAWAII","404.0","769.0","12641.0"
"11","DC","DISTRICT OF COLUMBIA","363.0","437.0","14377.0"
"46","SD","SOUTH DAKOTA","267.0","482.0","7954.0"
"38","ND","NORTH DAKOTA","237.0","496.0","7816.0"
"54","WV","WEST VIRGINIA","223.0","408.0","6967.0"
"33","NH","NEW HAMPSHIRE","219.0","394.0","14060.0"
"16","ID","IDAHO","209.0","460.0","5863.0"
"30","MT","MONTANA","204.0","347.0","4387.0"
"23","ME","MAINE","198.0","356.0","6823.0"
"02","AK","ALASKA","177.0","366.0","7146.0"
"10","DE","DELAWARE","158.0","345.0","8324.0"
"44","RI","RHODE ISLAND","153.0","302.0","9210.0"
"56","WY","WYOMING","150.0","322.0","4605.0"
"50","VT","VERMONT","80.0","132.0","3864.0"
