"1997 - 1998 State To State Migration Flows - OUTFLOW","","","","",""
"(Aggregate Money Amounts Are In Thousands)","","","","",""
"","","","","",""
"FROM:","","44-RHODE ISLAND","","","AGGREGATE"
"","","","","","ADJUSTED"
"","","","NUMBER OF","NUMBER OF","GROSS"
"","","","RETURNS","EXEMPTIONS","INCOME"
"TO:","       ","","","",""
"96","RI","RI Total Mig - US & For","13535.0","23972.0","518338.0"
"97","RI","RI Total Mig - US","13171.0","23281.0","508354.0"
"98","RI","RI Total Mig - Foreign","364.0","691.0","9984.0"
"44","RI","RI Non-Migrants","359674.0","747033.0","15696325.0"
"25","MA","MASSACHUSETTS","3770.0","6196.0","146235.0"
"12","FL","FLORIDA","1720.0","3183.0","69028.0"
"09","CT","CONNECTICUT","1030.0","1729.0","38747.0"
"36","NY","NEW YORK","804.0","1263.0","26640.0"
"06","CA","CALIFORNIA","707.0","1146.0","24283.0"
"51","VA","VIRGINIA","577.0","1320.0","23909.0"
"37","NC","NORTH CAROLINA","392.0","732.0","14830.0"
"57","FR","Foreign","364.0","691.0","9984.0"
"33","NH","NEW HAMPSHIRE","340.0","601.0","15045.0"
"34","NJ","NEW JERSEY","320.0","564.0","12226.0"
"42","PA","PENNSYLVANIA","312.0","549.0","15967.0"
"48","TX","TEXAS","291.0","556.0","10612.0"
"24","MD","MARYLAND","241.0","444.0","8538.0"
"13","GA","GEORGIA","234.0","434.0","7260.0"
"23","ME","MAINE","225.0","409.0","7168.0"
"53","WA","WASHINGTON","174.0","333.0","9459.0"
"04","AZ","ARIZONA","172.0","272.0","5385.0"
"17","IL","ILLINOIS","153.0","302.0","9210.0"
"45","SC","SOUTH CAROLINA","138.0","291.0","5543.0"
"08","CO","COLORADO","131.0","220.0","4726.0"
"39","OH","OHIO","120.0","237.0","5452.0"
"50","VT","VERMONT","103.0","170.0","2761.0"
"26","MI","MICHIGAN","100.0","186.0","4238.0"
"15","HI","HAWAII","91.0","212.0","3268.0"
"32","NV","NEVADA","88.0","151.0","2897.0"
"47","TN","TENNESSEE","88.0","195.0","4484.0"
"55","WI","WISCONSIN","71.0","134.0","5687.0"
"27","MN","MINNESOTA","63.0","130.0","1636.0"
"11","DC","DISTRICT OF COLUMBIA","61.0","82.0","2037.0"
"35","NM","NEW MEXICO","57.0","76.0","1534.0"
"18","IN","INDIANA","56.0","105.0","2499.0"
"29","MO","MISSOURI","54.0","110.0","2043.0"
"22","LA","LOUISIANA","53.0","77.0","1260.0"
"01","AL","ALABAMA","48.0","100.0","1910.0"
"41","OR","OREGON","46.0","78.0","1254.0"
"40","OK","OKLAHOMA","39.0","79.0","921.0"
"21","KY","KENTUCKY","38.0","68.0","1185.0"
"19","IA","IOWA","36.0","71.0","1390.0"
"20","KS","KANSAS","36.0","82.0","1413.0"
"28","MS","MISSISSIPPI","34.0","84.0","895.0"
"31","NE","NEBRASKA","28.0","73.0","1188.0"
"10","DE","DELAWARE","25.0","46.0","983.0"
"05","AR","ARKANSAS","20.0","41.0","577.0"
"49","UT","UTAH","15.0","20.0","288.0"
"54","WV","WEST VIRGINIA","14.0","35.0","393.0"
"16","ID","IDAHO","12.0","22.0","542.0"
"02","AK","ALASKA","10.0","14.0","195.0"
"46","SD","SOUTH DAKOTA","10.0","21.0","167.0"
"30","MT","MONTANA","8.0","13.0","124.0"
"38","ND","NORTH DAKOTA","8.0","10.0","146.0"
"56","WY","WYOMING","8.0","15.0","177.0"
