"1998 - 1999 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,11-DISTRICT OF COLUMBIA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,DC,DC Total Mig - US & For,23954,34429,886467"
"97,DC,DC Total Mig - US,21508,31192,824470"
"98,DC,DC Total Mig - Foreign,2446,3237,61996"
"11,DC,DC Non-Migrants,192275,336342,8728778"
"24,MD,MARYLAND,6934,11949,228990"
"51,VA,VIRGINIA,4189,6024,203858"
"57,FR,Foreign,2446,3237,61996"
"36,NY,NEW YORK,1317,1560,54900"
"06,CA,CALIFORNIA,1136,1494,47646"
"42,PA,PENNSYLVANIA,709,845,24390"
"25,MA,MASSACHUSETTS,656,764,25668"
"12,FL,FLORIDA,590,778,21301"
"34,NJ,NEW JERSEY,524,627,25033"
"37,NC,NORTH CAROLINA,512,777,15084"
"17,IL,ILLINOIS,509,605,23445"
"48,TX,TEXAS,484,681,21881"
"13,GA,GEORGIA,355,493,13646"
"39,OH,OHIO,353,435,11268"
"09,CT,CONNECTICUT,263,308,9918"
"26,MI,MICHIGAN,255,295,7780"
"08,CO,COLORADO,193,255,6230"
"53,WA,WASHINGTON,176,240,6289"
"45,SC,SOUTH CAROLINA,161,254,3793"
"29,MO,MISSOURI,143,175,4584"
"27,MN,MINNESOTA,141,155,6944"
"55,WI,WISCONSIN,138,160,3826"
"22,LA,LOUISIANA,131,153,4495"
"18,IN,INDIANA,130,152,3608"
"47,TN,TENNESSEE,116,148,4422"
"01,AL,ALABAMA,104,164,3635"
"04,AZ,ARIZONA,104,148,4026"
"41,OR,OREGON,96,113,2636"
"10,DE,DELAWARE,82,100,2887"
"15,HI,HAWAII,76,143,2886"
"35,NM,NEW MEXICO,72,94,3172"
"33,NH,NEW HAMPSHIRE,70,82,2185"
"21,KY,KENTUCKY,68,84,1854"
"54,WV,WEST VIRGINIA,67,93,2262"
"44,RI,RHODE ISLAND,61,69,1595"
"23,ME,MAINE,58,69,2047"
"19,IA,IOWA,56,62,1592"
"40,OK,OKLAHOMA,54,72,1690"
"50,VT,VERMONT,53,68,1539"
"20,KS,KANSAS,52,69,1345"
"31,NE,NEBRASKA,48,68,1567"
"49,UT,UTAH,48,62,1399"
"32,NV,NEVADA,44,55,1793"
"28,MS,MISSISSIPPI,34,57,841"
"05,AR,ARKANSAS,31,36,819"
"30,MT,MONTANA,27,33,680"
"46,SD,SOUTH DAKOTA,27,37,848"
"02,AK,ALASKA,20,37,755"
"16,ID,IDAHO,20,24,687"
"38,ND,NORTH DAKOTA,15,19,540"
"56,WY,WYOMING,6,7,192"
