"1998 - 1999 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,19-IOWA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,IA,IA Total Mig - US & For,29655,59346,1013868"
"97,IA,IA Total Mig - US,27872,57093,1000042"
"98,IA,IA Total Mig - Foreign,1783,2253,13825"
"19,IA,IA Non-Migrants,1048260,2358701,45108994"
"17,IL,ILLINOIS,4163,8077,144436"
"31,NE,NEBRASKA,3176,6454,105514"
"27,MN,MINNESOTA,1989,3840,78081"
"29,MO,MISSOURI,1803,3744,58085"
"57,FR,Foreign,1783,2253,13825"
"06,CA,CALIFORNIA,1733,3675,53574"
"48,TX,TEXAS,1509,3302,52495"
"55,WI,WISCONSIN,1287,2473,47561"
"46,SD,SOUTH DAKOTA,933,1847,29829"
"08,CO,COLORADO,859,1758,30529"
"04,AZ,ARIZONA,790,1525,24910"
"20,KS,KANSAS,787,1735,34125"
"12,FL,FLORIDA,782,1515,27411"
"26,MI,MICHIGAN,549,1208,23896"
"18,IN,INDIANA,528,1155,23972"
"53,WA,WASHINGTON,468,994,14742"
"39,OH,OHIO,463,980,24671"
"37,NC,NORTH CAROLINA,398,849,16126"
"36,NY,NEW YORK,377,710,14663"
"13,GA,GEORGIA,349,782,15310"
"40,OK,OKLAHOMA,342,816,10411"
"51,VA,VIRGINIA,339,718,13281"
"47,TN,TENNESSEE,335,725,13185"
"42,PA,PENNSYLVANIA,322,712,13102"
"05,AR,ARKANSAS,286,562,7743"
"32,NV,NEVADA,246,469,8098"
"38,ND,NORTH DAKOTA,228,454,7622"
"41,OR,OREGON,215,425,10166"
"21,KY,KENTUCKY,198,439,7012"
"35,NM,NEW MEXICO,185,382,6396"
"25,MA,MASSACHUSETTS,172,307,7217"
"24,MD,MARYLAND,168,369,8833"
"01,AL,ALABAMA,167,389,6221"
"45,SC,SOUTH CAROLINA,166,368,5504"
"49,UT,UTAH,159,401,5886"
"34,NJ,NEW JERSEY,158,310,7045"
"22,LA,LOUISIANA,155,321,5442"
"16,ID,IDAHO,144,336,3784"
"28,MS,MISSISSIPPI,136,272,3582"
"30,MT,MONTANA,136,290,3960"
"56,WY,WYOMING,131,274,3584"
"02,AK,ALASKA,101,210,3387"
"09,CT,CONNECTICUT,98,210,6202"
"15,HI,HAWAII,95,212,2820"
"54,WV,WEST VIRGINIA,49,111,1700"
"33,NH,NEW HAMPSHIRE,45,83,2010"
"23,ME,MAINE,42,82,1244"
"10,DE,DELAWARE,33,84,1634"
"11,DC,DISTRICT OF COLUMBIA,33,41,1351"
"44,RI,RHODE ISLAND,23,53,845"
"50,VT,VERMONT,22,45,843"
