"1998 - 1999 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,24-MARYLAND,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,MD,MD Total Mig - US & For,74811,138090,3115927"
"97,MD,MD Total Mig - US,69414,128226,2984829"
"98,MD,MD Total Mig - Foreign,5397,9864,131098"
"24,MD,MD Non-Migrants,1889204,4055006,98773021"
"51,VA,VIRGINIA,10318,18384,471299"
"11,DC,DISTRICT OF COLUMBIA,9853,19222,363057"
"42,PA,PENNSYLVANIA,7170,11875,285912"
"57,FR,Foreign,5397,9864,131098"
"36,NY,NEW YORK,4793,8236,205774"
"12,FL,FLORIDA,4090,7419,162794"
"06,CA,CALIFORNIA,3339,6499,156260"
"34,NJ,NEW JERSEY,2864,5036,146760"
"37,NC,NORTH CAROLINA,2667,5052,98242"
"48,TX,TEXAS,2410,5038,113863"
"10,DE,DELAWARE,2034,3686,76927"
"13,GA,GEORGIA,1673,3249,69775"
"39,OH,OHIO,1487,2644,66876"
"54,WV,WEST VIRGINIA,1393,2547,41708"
"25,MA,MASSACHUSETTS,1343,2298,69964"
"17,IL,ILLINOIS,1201,2227,77411"
"45,SC,SOUTH CAROLINA,976,1862,30873"
"09,CT,CONNECTICUT,878,1610,54114"
"26,MI,MICHIGAN,857,1521,51437"
"08,CO,COLORADO,790,1508,39107"
"47,TN,TENNESSEE,685,1375,30536"
"53,WA,WASHINGTON,641,1268,40875"
"04,AZ,ARIZONA,627,1239,24417"
"18,IN,INDIANA,510,925,22310"
"22,LA,LOUISIANA,502,963,17315"
"29,MO,MISSOURI,489,895,29963"
"15,HI,HAWAII,473,1242,19173"
"01,AL,ALABAMA,463,948,16561"
"21,KY,KENTUCKY,387,801,17357"
"55,WI,WISCONSIN,363,600,15912"
"27,MN,MINNESOTA,346,633,17233"
"40,OK,OKLAHOMA,342,728,14932"
"20,KS,KANSAS,293,610,12374"
"35,NM,NEW MEXICO,283,544,11218"
"28,MS,MISSISSIPPI,258,548,8599"
"33,NH,NEW HAMPSHIRE,254,423,10995"
"44,RI,RHODE ISLAND,253,420,9648"
"23,ME,MAINE,252,493,10114"
"49,UT,UTAH,239,539,11721"
"41,OR,OREGON,227,383,7952"
"32,NV,NEVADA,198,370,9316"
"05,AR,ARKANSAS,186,380,6679"
"19,IA,IOWA,182,304,8029"
"02,AK,ALASKA,165,408,5371"
"31,NE,NEBRASKA,155,353,7209"
"50,VT,VERMONT,151,249,5085"
"16,ID,IDAHO,92,171,3060"
"30,MT,MONTANA,78,148,2003"
"38,ND,NORTH DAKOTA,75,160,2537"
"46,SD,SOUTH DAKOTA,59,101,1969"
"56,WY,WYOMING,50,92,2212"
