"1998 - 1999 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,18-INDIANA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,IN,IN Total Mig - US & For,60712,116091,2493727"
"97,IN,IN Total Mig - US,59621,114266,2464989"
"98,IN,IN Total Mig - Foreign,1091,1825,28738"
"18,IN,IN Non-Migrants,2186330,4866454,98749633"
"17,IL,ILLINOIS,7754,13861,291194"
"12,FL,FLORIDA,5905,10792,270913"
"39,OH,OHIO,5221,10296,206097"
"21,KY,KENTUCKY,4817,9224,154803"
"26,MI,MICHIGAN,4609,9535,207948"
"48,TX,TEXAS,3029,6179,132088"
"06,CA,CALIFORNIA,3007,4969,115229"
"47,TN,TENNESSEE,2236,4536,78352"
"13,GA,GEORGIA,1915,3846,85129"
"04,AZ,ARIZONA,1741,3204,76691"
"37,NC,NORTH CAROLINA,1619,3169,75451"
"29,MO,MISSOURI,1299,2654,58066"
"08,CO,COLORADO,1298,2297,58658"
"55,WI,WISCONSIN,1239,2656,55736"
"51,VA,VIRGINIA,1151,2156,47589"
"57,FR,Foreign,1091,1825,28738"
"42,PA,PENNSYLVANIA,1083,2330,56380"
"36,NY,NEW YORK,1008,1767,39998"
"45,SC,SOUTH CAROLINA,860,1736,40330"
"27,MN,MINNESOTA,824,1630,38469"
"01,AL,ALABAMA,708,1471,25492"
"53,WA,WASHINGTON,703,1264,31834"
"32,NV,NEVADA,552,941,33069"
"19,IA,IOWA,528,1155,23972"
"20,KS,KANSAS,512,1053,20318"
"24,MD,MARYLAND,510,925,22310"
"40,OK,OKLAHOMA,478,1027,14403"
"25,MA,MASSACHUSETTS,460,774,21669"
"05,AR,ARKANSAS,447,918,14044"
"34,NJ,NEW JERSEY,412,762,24333"
"22,LA,LOUISIANA,389,758,12329"
"41,OR,OREGON,382,643,11693"
"28,MS,MISSISSIPPI,380,794,11650"
"35,NM,NEW MEXICO,266,487,11608"
"54,WV,WEST VIRGINIA,262,527,8780"
"09,CT,CONNECTICUT,251,473,16401"
"31,NE,NEBRASKA,240,518,12408"
"49,UT,UTAH,211,482,7972"
"15,HI,HAWAII,135,224,3157"
"11,DC,DISTRICT OF COLUMBIA,130,152,3608"
"30,MT,MONTANA,125,221,5123"
"16,ID,IDAHO,124,268,3581"
"02,AK,ALASKA,121,215,2989"
"33,NH,NEW HAMPSHIRE,111,227,4687"
"56,WY,WYOMING,99,197,10192"
"10,DE,DELAWARE,98,189,3884"
"23,ME,MAINE,97,220,4080"
"46,SD,SOUTH DAKOTA,78,163,3015"
"38,ND,NORTH DAKOTA,71,157,2331"
"50,VT,VERMONT,64,105,2089"
"44,RI,RHODE ISLAND,62,119,2846"
