"1998 - 1999 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,34-NEW JERSEY,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,NJ,NJ Total Mig - US & For,93878,170613,5375922"
"97,NJ,NJ Total Mig - US,91053,165059,5227106"
"98,NJ,NJ Total Mig - Foreign,2825,5554,148817"
"34,NJ,NJ Non-Migrants,3012344,6506913,179937147"
"36,NY,NEW YORK,18800,30904,1049843"
"42,PA,PENNSYLVANIA,13842,25535,697521"
"12,FL,FLORIDA,12533,23806,723766"
"06,CA,CALIFORNIA,5241,8721,334838"
"51,VA,VIRGINIA,4210,8013,221191"
"37,NC,NORTH CAROLINA,3896,7410,201782"
"25,MA,MASSACHUSETTS,2947,4781,193110"
"24,MD,MARYLAND,2864,5036,146760"
"57,FR,Foreign,2825,5554,148817"
"13,GA,GEORGIA,2807,5792,164593"
"48,TX,TEXAS,2452,5030,173203"
"09,CT,CONNECTICUT,2000,3736,175926"
"45,SC,SOUTH CAROLINA,1578,3061,81079"
"04,AZ,ARIZONA,1533,2750,83248"
"10,DE,DELAWARE,1512,2713,63516"
"17,IL,ILLINOIS,1511,2934,126828"
"39,OH,OHIO,1360,2730,92949"
"08,CO,COLORADO,1306,2140,87332"
"26,MI,MICHIGAN,849,1806,55955"
"32,NV,NEVADA,819,1444,43717"
"47,TN,TENNESSEE,700,1395,33617"
"53,WA,WASHINGTON,665,1199,38869"
"18,IN,INDIANA,535,1154,44177"
"11,DC,DISTRICT OF COLUMBIA,524,627,25033"
"33,NH,NEW HAMPSHIRE,504,987,41667"
"29,MO,MISSOURI,447,901,31198"
"44,RI,RHODE ISLAND,421,701,21018"
"23,ME,MAINE,391,699,24435"
"27,MN,MINNESOTA,379,724,24250"
"50,VT,VERMONT,377,652,31852"
"01,AL,ALABAMA,367,756,16061"
"22,LA,LOUISIANA,344,639,13992"
"41,OR,OREGON,336,521,21250"
"21,KY,KENTUCKY,331,690,17640"
"55,WI,WISCONSIN,290,602,17873"
"20,KS,KANSAS,249,509,17015"
"54,WV,WEST VIRGINIA,243,481,10451"
"40,OK,OKLAHOMA,240,508,9939"
"15,HI,HAWAII,232,383,7131"
"35,NM,NEW MEXICO,223,384,11158"
"49,UT,UTAH,193,356,10006"
"28,MS,MISSISSIPPI,182,338,7259"
"19,IA,IOWA,158,310,7045"
"05,AR,ARKANSAS,139,293,6307"
"30,MT,MONTANA,105,154,3331"
"02,AK,ALASKA,103,189,2535"
"31,NE,NEBRASKA,99,184,6689"
"16,ID,IDAHO,80,137,3136"
"56,WY,WYOMING,58,93,1544"
"38,ND,NORTH DAKOTA,48,94,1897"
"46,SD,SOUTH DAKOTA,30,57,1574"
