"1998 - 1999 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,35-NEW MEXICO,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,NM,NM Total Mig - US & For,34061,71004,1131911"
"97,NM,NM Total Mig - US,32914,68613,1102678"
"98,NM,NM Total Mig - Foreign,1147,2391,29233"
"35,NM,NM Non-Migrants,584236,1321939,21159385"
"48,TX,TEXAS,7342,16212,240743"
"04,AZ,ARIZONA,4559,10232,139456"
"06,CA,CALIFORNIA,3266,5889,114398"
"08,CO,COLORADO,3087,6155,101059"
"57,FR,Foreign,1147,2391,29233"
"12,FL,FLORIDA,1092,2284,38575"
"32,NV,NEVADA,1061,2162,39672"
"40,OK,OKLAHOMA,831,1919,22883"
"53,WA,WASHINGTON,811,1512,28014"
"41,OR,OREGON,619,1126,21845"
"51,VA,VIRGINIA,593,1333,26104"
"49,UT,UTAH,581,1354,19249"
"17,IL,ILLINOIS,517,924,15985"
"36,NY,NEW YORK,516,880,25276"
"13,GA,GEORGIA,504,1137,16896"
"39,OH,OHIO,452,906,16890"
"37,NC,NORTH CAROLINA,449,884,14324"
"20,KS,KANSAS,430,952,12898"
"29,MO,MISSOURI,387,828,13713"
"42,PA,PENNSYLVANIA,331,587,10482"
"26,MI,MICHIGAN,326,639,10599"
"24,MD,MARYLAND,283,544,11218"
"47,TN,TENNESSEE,280,591,9879"
"25,MA,MASSACHUSETTS,273,454,9194"
"27,MN,MINNESOTA,268,570,10338"
"55,WI,WISCONSIN,268,543,8032"
"45,SC,SOUTH CAROLINA,261,593,9382"
"18,IN,INDIANA,256,521,6914"
"05,AR,ARKANSAS,244,565,7887"
"02,AK,ALASKA,242,527,8314"
"16,ID,IDAHO,234,576,8257"
"01,AL,ALABAMA,216,500,7222"
"22,LA,LOUISIANA,210,428,6347"
"34,NJ,NEW JERSEY,202,356,8211"
"30,MT,MONTANA,199,429,6195"
"56,WY,WYOMING,197,446,6888"
"31,NE,NEBRASKA,190,419,5369"
"19,IA,IOWA,185,382,6396"
"15,HI,HAWAII,156,305,4324"
"28,MS,MISSISSIPPI,148,294,5487"
"21,KY,KENTUCKY,139,298,4193"
"46,SD,SOUTH DAKOTA,128,258,3318"
"09,CT,CONNECTICUT,110,207,4210"
"23,ME,MAINE,96,177,3064"
"11,DC,DISTRICT OF COLUMBIA,72,94,3172"
"38,ND,NORTH DAKOTA,68,142,1621"
"33,NH,NEW HAMPSHIRE,65,132,2825"
"54,WV,WEST VIRGINIA,57,146,1704"
"50,VT,VERMONT,45,79,1465"
"44,RI,RHODE ISLAND,43,68,1185"
"10,DE,DELAWARE,25,54,1004"
