"1998 - 1999 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,42-PENNSYLVANIA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,PA,PA Total Mig - US & For,106514,190199,4953323"
"97,PA,PA Total Mig - US,103804,185272,4863685"
"98,PA,PA Total Mig - Foreign,2710,4927,89638"
"42,PA,PA Non-Migrants,4508385,9665043,208210751"
"34,NJ,NEW JERSEY,12663,22971,630131"
"12,FL,FLORIDA,10869,19526,554301"
"36,NY,NEW YORK,8641,14587,348871"
"24,MD,MARYLAND,7170,11875,285912"
"51,VA,VIRGINIA,6445,11264,295010"
"37,NC,NORTH CAROLINA,5770,10452,255536"
"39,OH,OHIO,5726,10693,241295"
"06,CA,CALIFORNIA,5574,8646,271636"
"10,DE,DELAWARE,3718,6849,175149"
"48,TX,TEXAS,3447,6574,181815"
"13,GA,GEORGIA,3082,5862,137789"
"57,FR,Foreign,2710,4927,89638"
"25,MA,MASSACHUSETTS,2698,4307,155312"
"45,SC,SOUTH CAROLINA,2388,4424,101906"
"17,IL,ILLINOIS,2177,3939,132537"
"04,AZ,ARIZONA,2151,3662,93831"
"08,CO,COLORADO,1899,2980,72492"
"26,MI,MICHIGAN,1576,3129,82176"
"09,CT,CONNECTICUT,1394,2516,102928"
"54,WV,WEST VIRGINIA,1347,2548,50425"
"18,IN,INDIANA,1257,2638,60727"
"47,TN,TENNESSEE,1256,2551,58218"
"53,WA,WASHINGTON,1016,1733,42488"
"32,NV,NEVADA,883,1394,29755"
"21,KY,KENTUCKY,814,1661,34785"
"29,MO,MISSOURI,750,1511,36007"
"11,DC,DISTRICT OF COLUMBIA,709,845,24390"
"27,MN,MINNESOTA,664,1383,61607"
"55,WI,WISCONSIN,653,1462,33609"
"01,AL,ALABAMA,548,1089,29899"
"22,LA,LOUISIANA,520,925,17549"
"41,OR,OREGON,508,828,20246"
"33,NH,NEW HAMPSHIRE,500,1039,40412"
"23,ME,MAINE,476,891,20433"
"20,KS,KANSAS,425,904,17826"
"40,OK,OKLAHOMA,396,827,17308"
"35,NM,NEW MEXICO,389,649,14417"
"44,RI,RHODE ISLAND,364,631,16864"
"50,VT,VERMONT,328,576,13512"
"19,IA,IOWA,322,712,13102"
"15,HI,HAWAII,320,511,9613"
"28,MS,MISSISSIPPI,313,623,10232"
"49,UT,UTAH,297,552,11833"
"05,AR,ARKANSAS,263,549,15973"
"02,AK,ALASKA,231,355,5926"
"30,MT,MONTANA,223,403,8303"
"31,NE,NEBRASKA,182,397,8030"
"16,ID,IDAHO,156,293,6390"
"56,WY,WYOMING,138,218,10732"
"46,SD,SOUTH DAKOTA,88,170,2252"
"38,ND,NORTH DAKOTA,80,148,2196"
