"1998 - 1999 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,54-WEST VIRGINIA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,WV,WV Total Mig - US & For,20180,38293,632274"
"97,WV,WV Total Mig - US,19878,37816,626115"
"98,WV,WV Total Mig - Foreign,302,477,6159"
"54,WV,WV Non-Migrants,598169,1328140,21295318"
"39,OH,OHIO,3496,6698,96034"
"51,VA,VIRGINIA,2668,5108,80927"
"37,NC,NORTH CAROLINA,2405,4498,58845"
"12,FL,FLORIDA,1406,2567,49797"
"24,MD,MARYLAND,1393,2547,41708"
"42,PA,PENNSYLVANIA,1366,2642,52551"
"21,KY,KENTUCKY,823,1715,29895"
"45,SC,SOUTH CAROLINA,747,1362,23050"
"47,TN,TENNESSEE,554,1107,17661"
"13,GA,GEORGIA,551,1079,17258"
"48,TX,TEXAS,548,1095,20951"
"06,CA,CALIFORNIA,347,585,10082"
"36,NY,NEW YORK,346,600,11685"
"18,IN,INDIANA,343,671,11247"
"57,FR,Foreign,302,477,6159"
"26,MI,MICHIGAN,259,493,8888"
"17,IL,ILLINOIS,241,468,11595"
"08,CO,COLORADO,181,299,5640"
"34,NJ,NEW JERSEY,176,302,5821"
"01,AL,ALABAMA,162,309,5188"
"04,AZ,ARIZONA,154,279,5181"
"29,MO,MISSOURI,134,285,7031"
"25,MA,MASSACHUSETTS,131,220,4943"
"53,WA,WASHINGTON,117,211,3809"
"22,LA,LOUISIANA,109,244,4349"
"28,MS,MISSISSIPPI,88,173,2215"
"55,WI,WISCONSIN,85,155,3034"
"40,OK,OKLAHOMA,82,174,2249"
"20,KS,KANSAS,77,188,2418"
"09,CT,CONNECTICUT,74,150,3118"
"32,NV,NEVADA,69,127,2106"
"11,DC,DISTRICT OF COLUMBIA,67,93,2262"
"10,DE,DELAWARE,60,126,2331"
"05,AR,ARKANSAS,57,121,2001"
"49,UT,UTAH,52,121,2067"
"27,MN,MINNESOTA,50,109,2095"
"19,IA,IOWA,49,111,1700"
"41,OR,OREGON,43,80,1228"
"35,NM,NEW MEXICO,40,72,1509"
"23,ME,MAINE,39,65,2059"
"15,HI,HAWAII,38,54,836"
"33,NH,NEW HAMPSHIRE,36,67,1307"
"02,AK,ALASKA,35,54,631"
"30,MT,MONTANA,34,64,1005"
"31,NE,NEBRASKA,33,84,1440"
"56,WY,WYOMING,29,53,1090"
"16,ID,IDAHO,27,69,808"
"50,VT,VERMONT,19,43,764"
"44,RI,RHODE ISLAND,15,33,907"
"46,SD,SOUTH DAKOTA,13,25,444"
"38,ND,NORTH DAKOTA,10,21,357"
