"1999 - 2000 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 04-ARIZONA,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,AZ,AZ Total Mig - US & For,100372,191560,4563811"
"97,AZ,AZ Total Mig - US,96503,185055,4472186"
"98,AZ,AZ Total Mig - Foreign,3869,6505,91624"
"04,AZ,AZ Non-Migrants,1583562,3528065,75017500"
"06,CA,CALIFORNIA,18812,38203,836336"
"48,TX,TEXAS,6770,14055,349284"
"17,IL,ILLINOIS,5358,9715,329321"
"53,WA,WASHINGTON,5042,9491,240013"
"35,NM,NEW MEXICO,4675,10576,147377"
"08,CO,COLORADO,4400,8155,203993"
"57,FR,Foreign,3869,6505,91624"
"32,NV,NEVADA,3304,6392,128365"
"36,NY,NEW YORK,3096,5265,151615"
"12,FL,FLORIDA,3086,5462,132973"
"26,MI,MICHIGAN,2709,4754,124459"
"41,OR,OREGON,2639,4962,110538"
"39,OH,OHIO,2522,4347,114286"
"49,UT,UTAH,2432,5675,102963"
"27,MN,MINNESOTA,2066,3504,123180"
"42,PA,PENNSYLVANIA,2034,3470,96114"
"55,WI,WISCONSIN,1844,3088,94304"
"29,MO,MISSOURI,1650,3073,75795"
"18,IN,INDIANA,1619,2910,75772"
"34,NJ,NEW JERSEY,1388,2454,86871"
"51,VA,VIRGINIA,1367,2599,73342"
"19,IA,IOWA,1335,2255,54577"
"25,MA,MASSACHUSETTS,1285,2082,87641"
"13,GA,GEORGIA,1243,2457,66532"
"37,NC,NORTH CAROLINA,1228,2469,59581"
"20,KS,KANSAS,1201,2340,66853"
"40,OK,OKLAHOMA,1093,2284,38745"
"31,NE,NEBRASKA,1035,1888,46781"
"16,ID,IDAHO,970,1943,33236"
"24,MD,MARYLAND,867,1619,50086"
"30,MT,MONTANA,816,1418,25699"
"47,TN,TENNESSEE,805,1521,31988"
"02,AK,ALASKA,755,1502,34665"
"09,CT,CONNECTICUT,667,1166,43072"
"15,HI,HAWAII,621,1285,25759"
"56,WY,WYOMING,598,1107,20218"
"05,AR,ARKANSAS,541,1058,16354"
"22,LA,LOUISIANA,515,972,17518"
"46,SD,SOUTH DAKOTA,498,863,15586"
"21,KY,KENTUCKY,497,935,18444"
"45,SC,SOUTH CAROLINA,483,947,18217"
"01,AL,ALABAMA,428,853,16786"
"33,NH,NEW HAMPSHIRE,422,781,21861"
"38,ND,NORTH DAKOTA,391,740,14836"
"28,MS,MISSISSIPPI,341,677,11455"
"23,ME,MAINE,299,477,8800"
"50,VT,VERMONT,195,315,6898"
"54,WV,WEST VIRGINIA,173,308,5871"
"44,RI,RHODE ISLAND,160,255,6262"
"10,DE,DELAWARE,129,235,6259"
"11,DC,DISTRICT OF COLUMBIA,99,153,4702"
