"1999 - 2000 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: 09-CONNECTICUT,,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,CT,CT Total Mig - US & For,39333,70686,2715637"
"97,CT,CT Total Mig - US,36927,67201,2609565"
"98,CT,CT Total Mig - Foreign,2406,3485,106073"
"09,CT,CT Non-Migrants,1270081,2670644,87245246"
"36,NY,NEW YORK,9064,16615,833231"
"25,MA,MASSACHUSETTS,4234,6985,231682"
"12,FL,FLORIDA,3618,6758,206465"
"57,FR,Foreign,2406,3485,106073"
"34,NJ,NEW JERSEY,2064,3883,224498"
"06,CA,CALIFORNIA,2004,3522,170312"
"42,PA,PENNSYLVANIA,1458,2665,92546"
"51,VA,VIRGINIA,1113,2229,63510"
"44,RI,RHODE ISLAND,1075,1779,41053"
"48,TX,TEXAS,962,1880,64896"
"37,NC,NORTH CAROLINA,927,1700,50130"
"17,IL,ILLINOIS,840,1665,94978"
"13,GA,GEORGIA,754,1553,51099"
"39,OH,OHIO,653,1215,48781"
"24,MD,MARYLAND,648,1243,47388"
"33,NH,NEW HAMPSHIRE,597,1014,29977"
"45,SC,SOUTH CAROLINA,577,1038,18475"
"23,ME,MAINE,543,917,20484"
"53,WA,WASHINGTON,450,934,26173"
"26,MI,MICHIGAN,447,809,30119"
"08,CO,COLORADO,443,740,23972"
"04,AZ,ARIZONA,417,680,20085"
"50,VT,VERMONT,389,629,13175"
"18,IN,INDIANA,290,553,18436"
"47,TN,TENNESSEE,287,563,17508"
"55,WI,WISCONSIN,241,445,16660"
"27,MN,MINNESOTA,236,452,17732"
"29,MO,MISSOURI,228,419,15420"
"01,AL,ALABAMA,179,329,8954"
"22,LA,LOUISIANA,170,306,7716"
"32,NV,NEVADA,169,295,7489"
"41,OR,OREGON,157,257,8432"
"15,HI,HAWAII,152,363,5045"
"11,DC,DISTRICT OF COLUMBIA,148,190,9848"
"20,KS,KANSAS,140,278,12247"
"49,UT,UTAH,138,278,6307"
"19,IA,IOWA,132,246,5992"
"21,KY,KENTUCKY,129,251,9945"
"40,OK,OKLAHOMA,118,205,4923"
"35,NM,NEW MEXICO,115,192,4212"
"10,DE,DELAWARE,84,146,4529"
"31,NE,NEBRASKA,82,136,5878"
"54,WV,WEST VIRGINIA,82,160,4149"
"28,MS,MISSISSIPPI,81,150,2754"
"16,ID,IDAHO,73,143,2896"
"05,AR,ARKANSAS,69,135,4886"
"02,AK,ALASKA,47,86,1348"
"30,MT,MONTANA,39,64,1281"
"56,WY,WYOMING,29,40,788"
