"1999 - 2000 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,15-HAWAII,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,HI,HI Total Mig - US & For,21589,40120,746127"
"97,HI,HI Total Mig - US,18414,34677,678817"
"98,HI,HI Total Mig - Foreign,3175,5443,67310"
"15,HI,HI Non-Migrants,427734,899952,19030221"
"06,CA,CALIFORNIA,4698,8283,200900"
"57,FR,Foreign,3175,5443,67310"
"53,WA,WASHINGTON,1271,2538,44685"
"48,TX,TEXAS,1123,2263,36872"
"12,FL,FLORIDA,967,1760,29813"
"51,VA,VIRGINIA,743,1775,32461"
"36,NY,NEW YORK,600,945,23380"
"37,NC,NORTH CAROLINA,595,1330,17956"
"41,OR,OREGON,581,982,20319"
"08,CO,COLORADO,543,973,18608"
"04,AZ,ARIZONA,492,909,17418"
"13,GA,GEORGIA,483,1088,16003"
"32,NV,NEVADA,416,720,13233"
"24,MD,MARYLAND,387,801,23220"
"17,IL,ILLINOIS,369,637,11023"
"42,PA,PENNSYLVANIA,290,477,8893"
"39,OH,OHIO,276,465,9095"
"45,SC,SOUTH CAROLINA,267,535,7873"
"26,MI,MICHIGAN,248,399,8740"
"34,NJ,NEW JERSEY,248,410,10474"
"25,MA,MASSACHUSETTS,244,350,9909"
"01,AL,ALABAMA,215,489,7481"
"22,LA,LOUISIANA,205,424,5439"
"29,MO,MISSOURI,204,377,6051"
"02,AK,ALASKA,199,405,6961"
"27,MN,MINNESOTA,194,291,5832"
"49,UT,UTAH,184,389,5534"
"09,CT,CONNECTICUT,180,351,7560"
"21,KY,KENTUCKY,177,424,4260"
"40,OK,OKLAHOMA,175,386,5114"
"20,KS,KANSAS,167,421,6160"
"47,TN,TENNESSEE,165,342,7504"
"55,WI,WISCONSIN,159,246,6428"
"35,NM,NEW MEXICO,145,279,4485"
"18,IN,INDIANA,143,239,4834"
"16,ID,IDAHO,118,230,3361"
"23,ME,MAINE,117,238,3814"
"28,MS,MISSISSIPPI,93,189,3173"
"19,IA,IOWA,91,162,3325"
"30,MT,MONTANA,84,141,2147"
"31,NE,NEBRASKA,80,178,2648"
"05,AR,ARKANSAS,77,147,3216"
"33,NH,NEW HAMPSHIRE,69,104,2739"
"44,RI,RHODE ISLAND,69,130,2787"
"11,DC,DISTRICT OF COLUMBIA,44,72,1764"
"10,DE,DELAWARE,41,75,1186"
"54,WV,WEST VIRGINIA,40,62,839"
"46,SD,SOUTH DAKOTA,39,69,1089"
"56,WY,WYOMING,39,73,903"
"50,VT,VERMONT,32,42,594"
"38,ND,NORTH DAKOTA,28,62,715"
