"1999 - 2000 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,27-MINNESOTA,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,MN,MN Total Mig - US & For,49529,91033,2040164"
"97,MN,MN Total Mig - US,46886,87558,1980992"
"98,MN,MN Total Mig - Foreign,2643,3475,59172"
"27,MN,MN Non-Migrants,1821960,4017603,99398617"
"55,WI,WISCONSIN,7156,11639,252035"
"38,ND,NORTH DAKOTA,3907,6734,121412"
"06,CA,CALIFORNIA,3475,7147,144399"
"19,IA,IOWA,3162,5669,119901"
"17,IL,ILLINOIS,3047,5806,161094"
"57,FR,Foreign,2643,3475,59172"
"48,TX,TEXAS,2515,5499,107056"
"46,SD,SOUTH DAKOTA,1984,3476,60624"
"12,FL,FLORIDA,1571,2859,75712"
"08,CO,COLORADO,1430,2571,63477"
"04,AZ,ARIZONA,1368,2428,57146"
"26,MI,MICHIGAN,1320,2509,63202"
"53,WA,WASHINGTON,1138,2133,52750"
"36,NY,NEW YORK,1089,2060,47478"
"29,MO,MISSOURI,884,1769,37893"
"39,OH,OHIO,876,1729,50623"
"31,NE,NEBRASKA,820,1620,35842"
"18,IN,INDIANA,788,1598,35247"
"13,GA,GEORGIA,663,1376,37977"
"37,NC,NORTH CAROLINA,663,1319,37626"
"42,PA,PENNSYLVANIA,623,1306,38085"
"51,VA,VIRGINIA,617,1226,32760"
"20,KS,KANSAS,566,1158,30941"
"41,OR,OREGON,539,1013,18693"
"30,MT,MONTANA,501,869,14610"
"25,MA,MASSACHUSETTS,485,859,30479"
"47,TN,TENNESSEE,439,915,19372"
"32,NV,NEVADA,432,751,14987"
"34,NJ,NEW JERSEY,426,790,25316"
"24,MD,MARYLAND,413,796,23982"
"40,OK,OKLAHOMA,382,861,13686"
"49,UT,UTAH,353,781,16603"
"02,AK,ALASKA,290,534,12276"
"35,NM,NEW MEXICO,286,561,11085"
"22,LA,LOUISIANA,268,538,8960"
"21,KY,KENTUCKY,260,495,10077"
"09,CT,CONNECTICUT,242,458,19789"
"16,ID,IDAHO,222,478,10047"
"45,SC,SOUTH CAROLINA,205,383,7233"
"56,WY,WYOMING,202,395,10285"
"05,AR,ARKANSAS,198,427,8180"
"01,AL,ALABAMA,180,361,7389"
"28,MS,MISSISSIPPI,179,388,5346"
"15,HI,HAWAII,169,303,5839"
"11,DC,DISTRICT OF COLUMBIA,117,161,5128"
"23,ME,MAINE,99,189,3899"
"33,NH,NEW HAMPSHIRE,89,154,4446"
"44,RI,RHODE ISLAND,71,133,3245"
"54,WV,WEST VIRGINIA,65,122,2625"
"10,DE,DELAWARE,59,113,2330"
"50,VT,VERMONT,53,99,1806"
