"1999 - 2000 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO: ,44-RHODE ISLAND,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,RI,RI Total Mig - US & For,14292,25188,620406"
"97,RI,RI Total Mig - US,13506,23983,604587"
"98,RI,RI Total Mig - Foreign,786,1205,15819"
"44,RI,RI Non-Migrants,373348,770064,18022180"
"25,MA,MASSACHUSETTS,4292,7184,189782"
"09,CT,CONNECTICUT,1311,2190,77663"
"36,NY,NEW YORK,1239,2220,45875"
"12,FL,FLORIDA,1016,1806,36968"
"57,FR,Foreign,786,1205,15819"
"06,CA,CALIFORNIA,720,1431,35336"
"34,NJ,NEW JERSEY,457,801,22284"
"51,VA,VIRGINIA,439,993,18049"
"42,PA,PENNSYLVANIA,363,621,17167"
"33,NH,NEW HAMPSHIRE,320,488,13947"
"48,TX,TEXAS,277,525,13713"
"37,NC,NORTH CAROLINA,275,517,9803"
"24,MD,MARYLAND,259,443,10660"
"53,WA,WASHINGTON,195,415,10848"
"23,ME,MAINE,193,346,6426"
"13,GA,GEORGIA,191,374,8536"
"39,OH,OHIO,186,328,9990"
"17,IL,ILLINOIS,175,339,12071"
"45,SC,SOUTH CAROLINA,155,298,5193"
"08,CO,COLORADO,118,195,5184"
"50,VT,VERMONT,114,175,3551"
"26,MI,MICHIGAN,110,199,5424"
"04,AZ,ARIZONA,102,169,4067"
"47,TN,TENNESSEE,75,146,3103"
"15,HI,HAWAII,72,176,3725"
"18,IN,INDIANA,66,124,2834"
"55,WI,WISCONSIN,64,116,3162"
"29,MO,MISSOURI,63,110,2968"
"22,LA,LOUISIANA,58,119,2239"
"27,MN,MINNESOTA,57,98,1814"
"41,OR,OREGON,51,73,1697"
"40,OK,OKLAHOMA,48,98,1567"
"32,NV,NEVADA,47,88,1448"
"35,NM,NEW MEXICO,47,101,1908"
"21,KY,KENTUCKY,43,93,1927"
"11,DC,DISTRICT OF COLUMBIA,39,64,2197"
"01,AL,ALABAMA,38,65,1641"
"20,KS,KANSAS,27,68,1195"
"19,IA,IOWA,26,59,1687"
"28,MS,MISSISSIPPI,26,47,708"
"49,UT,UTAH,26,56,941"
"10,DE,DELAWARE,24,47,1008"
"31,NE,NEBRASKA,22,38,826"
"02,AK,ALASKA,16,28,749"
"05,AR,ARKANSAS,15,31,630"
"54,WV,WEST VIRGINIA,12,23,359"
"30,MT,MONTANA,11,18,418"
"16,ID,IDAHO,10,16,381"
"56,WY,WYOMING,7,11,119"
