"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,04-ARIZONA,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,AZ,AZ Total Mig - US & For,73765,141670,2938539"
"97,AZ,AZ Total Mig - US,71551,137391,2826002"
"98,AZ,AZ Total Mig - Foreign,2214,4279,112536"
"04,AZ,AZ Non-Migrants,1583562,3528065,75017500"
"06,CA,CALIFORNIA,14465,26146,583645"
"48,TX,TEXAS,5356,11109,265431"
"08,CO,COLORADO,4231,8073,169200"
"35,NM,NEW MEXICO,4110,10204,111025"
"32,NV,NEVADA,3331,6333,136140"
"53,WA,WASHINGTON,2986,5377,114169"
"12,FL,FLORIDA,2662,4879,102832"
"17,IL,ILLINOIS,2486,4369,110453"
"57,FR,Foreign,2214,4279,112536"
"41,OR,OREGON,2129,3902,78513"
"49,UT,UTAH,1780,4081,63555"
"36,NY,NEW YORK,1773,2795,54420"
"26,MI,MICHIGAN,1715,3106,61835"
"39,OH,OHIO,1498,2902,55196"
"27,MN,MINNESOTA,1368,2428,57146"
"51,VA,VIRGINIA,1354,2737,65640"
"13,GA,GEORGIA,1229,2459,51392"
"29,MO,MISSOURI,1227,2507,44476"
"55,WI,WISCONSIN,1164,2014,39507"
"42,PA,PENNSYLVANIA,1159,2075,55660"
"37,NC,NORTH CAROLINA,1132,2198,42558"
"18,IN,INDIANA,1052,2032,44568"
"40,OK,OKLAHOMA,920,2015,30940"
"25,MA,MASSACHUSETTS,887,1439,42551"
"16,ID,IDAHO,828,1816,28545"
"47,TN,TENNESSEE,811,1674,31064"
"19,IA,IOWA,802,1538,26782"
"34,NJ,NEW JERSEY,773,1341,33531"
"20,KS,KANSAS,770,1531,39551"
"24,MD,MARYLAND,697,1254,29046"
"30,MT,MONTANA,609,1195,21755"
"31,NE,NEBRASKA,535,1017,17722"
"15,HI,HAWAII,492,909,17418"
"05,AR,ARKANSAS,467,979,14538"
"45,SC,SOUTH CAROLINA,465,948,18781"
"21,KY,KENTUCKY,457,903,17448"
"02,AK,ALASKA,443,845,14783"
"09,CT,CONNECTICUT,417,680,20085"
"56,WY,WYOMING,399,738,18246"
"22,LA,LOUISIANA,397,765,11145"
"01,AL,ALABAMA,349,731,13171"
"46,SD,SOUTH DAKOTA,322,627,13602"
"33,NH,NEW HAMPSHIRE,263,482,11987"
"28,MS,MISSISSIPPI,241,508,7630"
"23,ME,MAINE,223,356,7231"
"38,ND,NORTH DAKOTA,180,343,5902"
"50,VT,VERMONT,135,250,4853"
"11,DC,DISTRICT OF COLUMBIA,133,190,4906"
"54,WV,WEST VIRGINIA,123,221,3174"
"10,DE,DELAWARE,104,201,8191"
"44,RI,RHODE ISLAND,102,169,4067"
