"1999 - 2000 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,,09-CONNECTICUT,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,       ,,,,"
"96,CT,CT Total Mig - US & For,43526,75569,3108622"
"97,CT,CT Total Mig - US,41993,72673,3023626"
"98,CT,CT Total Mig - Foreign,1533,2896,84996"
"09,CT,CT Non-Migrants,1270081,2670644,87245246"
"36,NY,NEW YORK,6862,10755,491343"
"12,FL,FLORIDA,5423,9875,435578"
"25,MA,MASSACHUSETTS,5412,8222,314240"
"06,CA,CALIFORNIA,2776,4422,249147"
"34,NJ,NEW JERSEY,1828,3375,162932"
"51,VA,VIRGINIA,1651,3152,168120"
"57,FR,Foreign,1533,2896,84996"
"37,NC,NORTH CAROLINA,1490,2760,86016"
"42,PA,PENNSYLVANIA,1443,2700,112904"
"44,RI,RHODE ISLAND,1311,2190,77663"
"13,GA,GEORGIA,1173,2239,81795"
"48,TX,TEXAS,1127,2187,117104"
"33,NH,NEW HAMPSHIRE,864,1544,60499"
"23,ME,MAINE,863,1535,43864"
"24,MD,MARYLAND,859,1490,48247"
"45,SC,SOUTH CAROLINA,764,1446,54693"
"17,IL,ILLINOIS,736,1413,70557"
"50,VT,VERMONT,727,1191,38005"
"04,AZ,ARIZONA,667,1166,43072"
"39,OH,OHIO,661,1321,53012"
"08,CO,COLORADO,604,904,35988"
"26,MI,MICHIGAN,446,894,26440"
"53,WA,WASHINGTON,440,781,26948"
"47,TN,TENNESSEE,345,683,21629"
"18,IN,INDIANA,270,507,18800"
"55,WI,WISCONSIN,247,506,21758"
"27,MN,MINNESOTA,242,458,19789"
"11,DC,DISTRICT OF COLUMBIA,233,271,10893"
"32,NV,NEVADA,226,378,11733"
"41,OR,OREGON,222,369,10006"
"29,MO,MISSOURI,203,392,15350"
"15,HI,HAWAII,180,351,7560"
"01,AL,ALABAMA,163,314,7305"
"21,KY,KENTUCKY,161,290,9051"
"49,UT,UTAH,129,240,7461"
"22,LA,LOUISIANA,127,240,6669"
"10,DE,DELAWARE,126,205,7795"
"35,NM,NEW MEXICO,125,205,5826"
"20,KS,KANSAS,123,250,7901"
"40,OK,OKLAHOMA,99,185,4619"
"28,MS,MISSISSIPPI,90,205,3331"
"05,AR,ARKANSAS,88,180,5914"
"19,IA,IOWA,81,157,4419"
"30,MT,MONTANA,71,113,3862"
"54,WV,WEST VIRGINIA,70,143,2576"
"31,NE,NEBRASKA,54,114,3029"
"02,AK,ALASKA,51,92,1957"
"56,WY,WYOMING,43,73,2325"
"16,ID,IDAHO,41,72,1702"
"46,SD,SOUTH DAKOTA,32,72,1339"
"38,ND,NORTH DAKOTA,24,46,860"
